;0;1;2;3
acabar;0;3;3;5
aceitar;1;22;6;4
acompanhar;1;5;0;3
acostumar;0;2;1;0
acreditar;1;3;5;2
adaptar;0;2;0;1
adiantar;0;4;1;1
adolescente;0;1;0;1
adorar;0;5;0;1
agradecer;0;0;4;0
ajudar;1;16;4;2
alimentação;1;34;2;0
alteração;3;0;0;0
alto;0;2;0;0
ambiente;0;2;0;1
amendoim;0;3;0;0
apetite;3;5;0;0
aprender;3;4;0;2
apresentar;0;3;0;0
arroz;1;9;2;0
arrumar;0;3;0;0
atrapalhar;1;1;2;0
autismo;0;3;0;0
azedo;0;1;0;0
açúcar;0;7;0;0
bastante;4;11;5;1
bater;1;7;0;5
beber;0;10;2;1
bem;10;26;6;12
benefício;0;3;0;0
besteira;0;13;6;0
boca;2;4;3;4
bola;0;0;0;2
bolo;0;2;0;0
bonito;0;1;1;1
botar;0;3;0;0
braço;0;0;0;3
brigar;1;1;1;0
básico;3;3;0;0
cabeça;1;3;0;1
café;0;3;1;0
carne;1;7;2;2
casa;2;11;1;2
casca;0;2;0;2
cheiro;1;7;3;3
comer;15;86;22;23
começar;5;38;8;3
comida;0;29;9;5
comprar;0;6;4;0
conhecimento;1;4;0;2
conseguir;2;21;4;7
consulta;0;3;0;0
contar;2;4;0;1
continuar;1;6;2;1
conversar;1;3;1;0
corpo;0;8;0;0
correr;1;4;0;4
correto;1;4;1;0
cortar;0;6;0;1
cozinhar;0;1;1;3
cru;0;2;1;1
cuidado;1;0;1;2
câncer;2;10;2;0
danone;0;0;2;0
dentro;0;3;0;1
depender;0;4;0;1
descobrir;0;4;1;0
desconto;0;2;0;0
deus;3;9;3;2
diagnóstico;0;3;0;0
diarreia;2;1;0;1
dieta;1;1;2;2
diferente;3;9;1;1
dificuldade;8;38;7;6
digestão;0;0;0;3
diminuir;0;7;1;2
direto;2;1;1;2
doce;3;14;7;2
dor;0;4;0;2
dormir;0;1;1;2
doutor;0;11;2;4
dúvida;1;1;8;0
emagrecer;0;1;1;1
engasgava;0;1;0;0
engolir;0;2;4;1
engordar;0;5;3;1
enjoar;0;11;3;1
entender;1;12;2;1
entrar;0;4;1;0
errado;0;2;0;1
específico;1;2;0;0
esperar;1;2;0;2
essencial;0;2;1;2
estômago;0;2;2;2
evitar;0;3;0;0
exame;1;2;2;0
exemplo;1;5;2;1
experiência;0;1;2;3
explicar;3;7;0;1
falado;0;3;0;0
falta;0;4;0;0
fase;1;2;2;1
feijão;1;4;1;1
final;0;2;0;1
forma;2;2;0;0
forte;0;4;0;1
forçar;0;14;1;0
fraco;0;2;0;0
frango;0;5;0;0
frente;0;2;0;1
fruta;1;34;5;3
funcionar;2;3;0;2
furado;0;0;0;1
fácil;1;2;1;4
ganhar;0;4;0;2
garrafa;0;5;0;4
gastrostomia;0;15;0;1
geral;1;4;0;0
gostar;1;19;11;4
gosto;0;7;1;1
graça;2;8;2;2
grosso;0;3;0;0
higiene;1;7;4;1
hipoclorito;3;5;2;0
horrível;0;3;0;0
hospital;0;9;2;2
importante;1;2;1;4
imunidade;2;5;1;0
incomodar;0;7;2;1
independente;0;1;1;2
infecção;1;2;0;0
interessante;0;4;0;1
internar;2;14;4;2
intestino;1;5;2;4
introdução;1;1;1;0
inventar;0;3;0;0
invocar;0;2;0;0
início;2;6;0;4
japonês;0;3;0;0
lado;0;2;1;1
legume;3;7;5;2
leite;0;9;5;3
lembrar;0;5;0;0
levar;0;3;0;1
lidar;1;2;0;0
líquido;0;3;0;1
macarrão;0;5;0;1
machucar;2;1;0;3
magro;0;1;1;3
maior;1;6;1;2
mal;2;13;1;0
mandar;2;2;0;1
manhã;0;3;1;0
manter;2;10;0;2
mato;0;3;0;0
medida;0;3;0;0
medo;2;7;4;7
melhorar;1;3;0;3
menos;1;10;1;5
metade;0;1;0;0
metotrexato;1;6;0;0
molho;1;2;0;0
momento;0;3;0;2
monte;0;3;0;0
moído;0;3;0;0
mudar;0;11;2;4
mundo;0;5;1;0
mão;0;2;0;1
nariz;1;2;1;0
necessidade;3;7;0;2
noite;0;3;1;1
notar;0;3;0;1
nunca;5;7;2;4
nutricionista;0;8;2;0
nutrir;0;1;2;0
náusea;5;11;0;2
observar;0;9;0;5
oferecer;0;7;0;0
ontem;0;7;1;0
oral;0;8;1;0
ovo;0;3;1;0
paladar;3;2;2;0
parar;0;10;0;1
parecer;0;8;0;1
passar;6;37;4;4
pedaço;0;2;0;0
pedir;0;8;0;1
pensar;0;6;1;2
pequeno;2;2;2;1
perceber;1;6;0;0
perder;6;14;1;4
perguntar;0;2;2;0
permanecer;1;0;0;1
período;0;3;0;1
peso;6;20;3;7
pesquisar;1;8;0;0
pessoa;1;3;0;1
pior;0;2;1;0
praticamente;0;1;2;0
preciso;0;1;0;2
preferir;0;2;0;0
preso;1;6;2;3
problema;0;8;3;2
procedimento;1;2;0;0
processo;0;3;0;0
proibir;0;3;0;0
puro;1;1;1;0
pó;1;7;0;1
pôr;0;7;1;0
qualidade;0;2;0;1
quantidade;3;2;2;0
queijo;0;2;0;0
querer;1;45;14;11
questão;6;11;1;3
quimioterapia;10;38;5;4
receio;3;2;1;0
recurso;0;3;0;0
relacionar;1;4;0;2
relutante;0;2;0;0
remédio;0;24;1;5
resolver;0;4;0;0
respirar;0;2;0;0
ressecar;0;4;0;0
restrição;0;3;0;0
resultado;0;2;1;0
rim;0;3;0;0
ritmo;0;3;0;0
ruim;1;3;0;4
rápido;0;5;0;2
sabor;1;4;0;2
sabão;1;4;1;0
sair;0;7;2;5
salgado;0;5;2;0
salvar;0;1;3;0
salvação;0;2;0;0
saudável;0;5;0;1
seguro;1;0;1;1
seletivo;1;4;0;0
semana;1;8;4;3
sensível;1;0;0;3
sentar;1;7;0;1
sentir;3;14;1;0
sofrer;1;4;1;0
soltar;0;5;0;1
sonda;2;38;13;12
suco;0;6;1;0
suplemento;4;38;11;7
suprir;2;2;0;0
tempero;0;5;0;0
tomar;7;65;14;10
tranquilo;3;6;0;0
tratamento;1;19;0;3
trocar;1;0;0;2
uso;1;8;0;0
uti;0;3;3;0
vender;0;2;3;0
verdura;2;12;3;1
verduras;0;5;1;0
via;0;9;0;0
vida;0;3;2;3
vitamina;0;4;0;1
voltar;5;12;2;2
vomitar;4;22;3;5
vontade;0;3;1;2
ácido;0;3;0;0
água;3;18;5;1
ótimo;1;1;0;2
