;medio;superior
acabar;10;1
aceitar;31;2
acompanhar;5;4
acostumar;3;0
acreditar;10;1
adaptar;3;0
adiantar;2;4
adolescente;1;1
adorar;4;2
agradecer;4;0
ajudar;20;3
alimentação;30;7
alteração;0;3
alto;2;0
ambiente;3;0
amendoim;0;3
apetite;5;3
aprender;6;3
apresentar;3;0
arroz;10;2
arrumar;3;0
atrapalhar;3;1
autismo;0;3
azedo;1;0
açúcar;6;1
bastante;16;5
bater;10;3
beber;9;4
bem;37;17
benefício;3;0
besteira;11;8
boca;8;5
bola;2;0
bolo;0;2
bonito;3;0
botar;3;0
braço;3;0
brigar;2;1
básico;2;4
cabeça;4;1
café;4;0
carne;10;2
casa;10;6
casca;3;1
cheiro;12;2
comer;99;47
começar;45;9
comida;32;11
comprar;5;5
conhecimento;2;5
conseguir;28;6
consulta;2;1
contar;5;2
continuar;8;2
conversar;4;1
corpo;4;4
correr;7;2
correto;5;1
cortar;6;1
cozinhar;4;1
cru;3;1
cuidado;3;1
câncer;9;5
danone;2;0
dentro;1;3
depender;4;1
descobrir;4;1
desconto;0;2
deus;9;8
diagnóstico;3;0
diarreia;2;2
dieta;5;1
diferente;9;5
dificuldade;33;26
digestão;3;0
diminuir;10;0
direto;4;2
doce;18;8
dor;6;0
dormir;4;0
doutor;9;8
dúvida;8;2
emagrecer;3;0
engasgava;1;0
engolir;6;1
engordar;9;0
enjoar;6;9
entender;10;6
entrar;5;0
errado;3;0
específico;2;1
esperar;3;2
essencial;4;1
estômago;5;1
evitar;2;1
exame;3;2
exemplo;7;2
experiência;5;1
explicar;6;5
falado;3;0
falta;2;2
fase;4;2
feijão;6;1
final;3;0
forma;1;3
forte;5;0
forçar;11;4
fraco;2;0
frango;4;1
frente;2;1
fruta;34;9
funcionar;3;4
furado;1;0
fácil;7;1
ganhar;6;0
garrafa;8;1
gastrostomia;16;0
geral;4;1
gostar;29;6
gosto;8;1
graça;8;6
grosso;3;0
higiene;10;3
hipoclorito;6;4
horrível;3;0
hospital;7;6
importante;7;1
imunidade;3;5
incomodar;8;2
independente;4;0
infecção;1;2
interessante;4;1
internar;13;9
intestino;9;3
introdução;2;1
inventar;2;1
invocar;0;2
início;6;6
japonês;0;3
lado;3;1
legume;10;7
leite;15;2
lembrar;4;1
levar;2;2
lidar;2;1
líquido;4;0
macarrão;5;1
machucar;3;3
magro;5;0
maior;7;3
mal;11;5
mandar;3;2
manhã;4;0
manter;10;4
mato;3;0
medida;3;0
medo;18;2
melhorar;6;1
menos;14;3
metade;1;0
metotrexato;6;1
molho;2;1
momento;4;1
monte;1;2
moído;3;0
mudar;13;4
mundo;6;0
mão;2;1
nariz;3;1
necessidade;7;5
noite;4;1
notar;3;1
nunca;10;8
nutricionista;10;0
nutrir;3;0
náusea;4;14
observar;9;5
oferecer;3;4
ontem;7;1
oral;9;0
ovo;3;1
paladar;4;3
parar;10;1
parecer;9;0
passar;35;16
pedaço;0;2
pedir;8;1
pensar;7;2
pequeno;4;3
perceber;3;4
perder;15;10
perguntar;2;2
permanecer;1;1
período;4;0
peso;26;10
pesquisar;3;6
pessoa;3;2
pior;2;1
praticamente;2;1
preciso;3;0
preferir;2;0
preso;9;3
problema;10;3
procedimento;1;2
processo;1;2
proibir;0;3
puro;2;1
pó;8;1
pôr;8;0
qualidade;2;1
quantidade;4;3
queijo;2;0
querer;53;18
questão;13;8
quimioterapia;32;25
receio;3;3
recurso;3;0
relacionar;3;4
relutante;2;0
remédio;20;10
resolver;3;1
respirar;2;0
ressecar;4;0
restrição;3;0
resultado;3;0
rim;3;0
ritmo;3;0
ruim;7;1
rápido;5;2
sabor;6;1
sabão;5;1
sair;11;3
salgado;6;1
salvar;4;0
salvação;2;0
saudável;2;4
seguro;2;1
seletivo;2;3
semana;14;2
sensível;3;1
sentar;5;4
sentir;7;11
sofrer;3;3
soltar;6;0
sonda;52;13
suco;4;3
suplemento;48;12
suprir;0;4
tempero;5;0
tomar;69;27
tranquilo;3;6
tratamento;17;6
trocar;2;1
uso;8;1
uti;6;0
vender;4;1
verdura;10;8
verduras;4;2
via;9;0
vida;7;1
vitamina;4;1
voltar;12;9
vomitar;22;12
vontade;4;2
ácido;3;0
água;20;7
ótimo;3;1
