;G1;G2;G3;G5;G6;G7;G8
acabar;1;1;5;3;1;0;0
aceitar;5;1;4;6;13;1;3
acompanhar;1;3;3;0;1;1;0
acostumar;1;0;0;1;1;0;0
acreditar;0;0;2;5;2;1;1
adaptar;0;0;1;0;1;0;1
adiantar;0;4;1;1;0;0;0
adolescente;0;1;1;0;0;0;0
adorar;0;2;1;0;2;0;1
agradecer;0;0;0;4;0;0;0
ajudar;4;2;2;4;10;1;0
alimentação;15;6;0;2;8;1;5
alteração;0;0;0;0;0;3;0
alto;1;0;0;0;0;0;1
ambiente;1;0;1;0;1;0;0
amendoim;0;3;0;0;0;0;0
apetite;1;0;0;0;4;3;0
aprender;2;0;2;0;1;3;1
apresentar;0;0;0;0;1;0;2
arroz;0;1;0;2;4;1;4
arrumar;2;0;0;0;1;0;0
atrapalhar;0;0;0;2;0;1;1
autismo;0;3;0;0;0;0;0
azedo;0;0;0;0;1;0;0
açúcar;0;1;0;0;3;0;3
bastante;4;1;1;5;4;4;2
bater;2;2;5;0;1;1;2
beber;1;4;1;2;1;0;4
bem;6;7;12;6;8;10;5
benefício;3;0;0;0;0;0;0
besteira;3;8;0;6;0;0;2
boca;0;3;4;3;1;2;0
bola;0;0;2;0;0;0;0
bolo;0;2;0;0;0;0;0
bonito;0;0;1;1;0;0;1
botar;2;0;0;0;0;0;1
braço;0;0;3;0;0;0;0
brigar;0;0;0;1;1;1;0
básico;1;1;0;0;0;3;1
cabeça;0;0;1;0;3;1;0
café;1;0;0;1;2;0;0
carne;0;1;2;2;3;1;3
casa;5;4;2;1;2;2;0
casca;0;1;2;0;0;0;1
cheiro;3;1;3;3;0;1;3
comer;18;32;23;22;24;15;12
começar;11;4;3;8;12;5;11
comida;7;11;5;9;4;0;7
comprar;0;5;0;4;1;0;0
conhecimento;0;4;2;0;0;1;0
conseguir;6;4;7;4;5;2;6
consulta;0;1;0;0;1;0;1
contar;0;0;1;0;3;2;1
continuar;0;1;1;2;3;1;2
conversar;2;0;0;1;0;1;1
corpo;3;4;0;0;1;0;0
correr;1;1;4;0;1;1;1
correto;2;0;0;1;2;1;0
