;4;6
acabar;0;11
aceitar;4;29
acompanhar;1;8
acostumar;0;3
acreditar;2;9
adaptar;1;2
adiantar;0;6
adolescente;0;2
adorar;1;5
agradecer;0;4
ajudar;1;22
alimentação;6;31
alteração;3;0
alto;1;1
ambiente;0;3
amendoim;0;3
apetite;3;5
aprender;4;5
apresentar;2;1
arroz;5;7
arrumar;0;3
atrapalhar;2;2
autismo;0;3
azedo;0;1
açúcar;3;4
bastante;6;15
bater;3;10
beber;4;9
bem;15;39
benefício;0;3
besteira;2;17
boca;2;11
bola;0;2
bolo;0;2
bonito;1;2
botar;1;2
braço;0;3
brigar;1;2
básico;4;2
cabeça;1;4
café;0;4
carne;4;8
casa;2;14
casca;1;3
cheiro;4;10
comer;27;119
começar;16;38
comida;7;36
comprar;0;10
conhecimento;1;6
conseguir;8;26
consulta;1;2
contar;3;4
continuar;3;7
conversar;2;3
corpo;0;8
correr;2;7
correto;1;5
cortar;0;7
cozinhar;0;5
cru;0;4
cuidado;1;3
câncer;2;12
danone;0;2
dentro;0;4
depender;1;4
descobrir;0;5
desconto;0;2
deus;4;13
diagnóstico;0;3
diarreia;2;2
dieta;1;5
diferente;4;10
dificuldade;14;45
digestão;0;3
diminuir;0;10
direto;3;3
doce;9;17
dor;2;4
dormir;1;3
doutor;0;17
dúvida;1;9
emagrecer;0;3
engasgava;0;1
engolir;1;6
engordar;2;7
enjoar;2;13
entender;4;12
entrar;1;4
errado;1;2
específico;1;2
esperar;2;3
essencial;0;5
estômago;1;5
evitar;0;3
exame;1;4
exemplo;1;8
experiência;0;6
explicar;5;6
falado;1;2
falta;0;4
fase;2;4
feijão;4;3
final;0;3
forma;2;2
forte;1;4
forçar;4;11
fraco;0;2
frango;1;4
frente;0;3
fruta;12;31
funcionar;3;4
furado;0;1
fácil;1;7
ganhar;1;5
garrafa;0;9
gastrostomia;6;10
geral;1;4
gostar;9;26
gosto;3;6
graça;3;11
grosso;1;2
higiene;3;10
hipoclorito;4;6
horrível;1;2
hospital;1;12
importante;1;7
imunidade;3;5
incomodar;1;9
independente;0;4
infecção;1;2
interessante;0;5
internar;4;18
intestino;1;11
introdução;1;2
inventar;1;2
invocar;0;2
início;4;8
japonês;0;3
lado;1;3
legume;3;14
leite;3;14
lembrar;2;3
levar;0;4
lidar;1;2
líquido;1;3
macarrão;0;6
machucar;2;4
magro;0;5
maior;3;7
mal;5;11
mandar;2;3
manhã;0;4
manter;3;11
mato;1;2
medida;0;3
medo;2;18
melhorar;3;4
menos;3;14
metade;1;0
metotrexato;4;3
molho;1;2
momento;1;4
monte;1;2
moído;3;0
mudar;3;14
mundo;1;5
mão;0;3
nariz;3;1
necessidade;4;8
noite;0;5
notar;0;4
nunca;7;11
nutricionista;0;10
nutrir;0;3
náusea;6;12
observar;2;12
oferecer;0;7
ontem;0;8
oral;2;7
ovo;0;4
paladar;3;4
parar;2;9
parecer;3;6
passar;16;35
pedaço;0;2
pedir;0;9
pensar;0;9
pequeno;2;5
perceber;2;5
perder;9;16
perguntar;0;4
permanecer;1;1
período;1;3
peso;11;25
pesquisar;1;8
pessoa;3;2
pior;1;2
praticamente;0;3
preciso;0;3
preferir;0;2
preso;1;11
problema;4;9
procedimento;2;1
processo;0;3
proibir;0;3
puro;2;1
pó;4;5
pôr;5;3
qualidade;0;3
quantidade;3;4
queijo;1;1
querer;15;56
questão;8;13
quimioterapia;13;44
receio;5;1
recurso;0;3
relacionar;2;5
relutante;2;0
remédio;2;28
resolver;1;3
respirar;2;0
ressecar;0;4
restrição;1;2
resultado;2;1
rim;0;3
ritmo;0;3
ruim;1;7
rápido;2;5
sabor;5;2
sabão;3;3
sair;2;12
salgado;4;3
salvar;0;4
salvação;0;2
saudável;0;6
seguro;1;2
seletivo;1;4
semana;4;12
sensível;1;3
sentar;3;6
sentir;4;14
sofrer;3;3
soltar;0;6
sonda;15;50
suco;1;6
suplemento;12;48
suprir;2;2
tempero;0;5
tomar;23;73
tranquilo;4;5
tratamento;3;20
trocar;1;2
uso;6;3
uti;1;5
vender;1;4
verdura;2;16
verduras;0;6
via;2;7
vida;0;8
vitamina;2;3
voltar;5;16
vomitar;10;24
vontade;0;6
ácido;3;0
água;8;19
ótimo;2;2
