;feminino;masculino
acabar;8;3
aceitar;13;20
acompanhar;3;6
acostumar;1;2
acreditar;8;3
adaptar;2;1
adiantar;2;4
adolescente;1;1
adorar;2;4
agradecer;4;0
ajudar;6;17
alimentação;7;30
alteração;0;3
alto;1;1
ambiente;1;2
amendoim;0;3
apetite;0;8
aprender;3;6
apresentar;2;1
arroz;6;6
arrumar;0;3
atrapalhar;3;1
autismo;0;3
azedo;0;1
açúcar;3;4
bastante;8;13
bater;7;6
beber;7;6
bem;23;31
benefício;0;3
besteira;8;11
boca;7;6
bola;2;0
bolo;0;2
bonito;3;0
botar;1;2
braço;3;0
brigar;1;2
básico;1;5
cabeça;1;4
café;1;3
carne;7;5
casa;3;13
casca;3;1
cheiro;9;5
comer;57;89
começar;22;32
comida;21;22
comprar;4;6
conhecimento;2;5
conseguir;17;17
consulta;1;2
contar;2;5
continuar;5;5
conversar;2;3
corpo;0;8
correr;5;4
correto;1;5
cortar;1;6
cozinhar;4;1
cru;2;2
cuidado;3;1
câncer;2;12
danone;2;0
dentro;1;3
depender;2;3
descobrir;1;4
desconto;0;2
deus;6;11
diagnóstico;0;3
diarreia;1;3
dieta;4;2
diferente;3;11
dificuldade;19;40
digestão;3;0
diminuir;3;7
direto;4;2
doce;15;11
dor;4;2
dormir;4;0
doutor;6;11
dúvida;8;2
emagrecer;2;1
engasgava;0;1
engolir;6;1
engordar;6;3
enjoar;6;9
entender;6;10
entrar;2;3
errado;2;1
específico;0;3
esperar;3;2
essencial;3;2
estômago;5;1
evitar;0;3
exame;2;3
exemplo;3;6
experiência;5;1
explicar;3;8
falado;1;2
falta;0;4
fase;4;2
feijão;5;2
final;1;2
forma;0;4
forte;2;3
forçar;5;10
fraco;0;2
frango;1;4
frente;1;2
fruta;19;24
funcionar;3;4
furado;1;0
fácil;5;3
ganhar;3;3
garrafa;4;5
gastrostomia;7;9
geral;0;5
gostar;23;12
gosto;5;4
graça;5;9
grosso;1;2
higiene;7;6
hipoclorito;3;7
horrível;1;2
hospital;5;8
importante;5;3
imunidade;2;6
incomodar;4;6
independente;3;1
infecção;0;3
interessante;1;4
internar;8;14
intestino;6;6
introdução;1;2
inventar;1;2
invocar;0;2
início;6;6
japonês;0;3
lado;3;1
legume;7;10
leite;11;6
lembrar;2;3
levar;1;3
lidar;0;3
líquido;2;2
macarrão;1;5
machucar;3;3
magro;4;1
maior;5;5
mal;4;12
mandar;1;4
manhã;1;3
manter;3;11
mato;1;2
medida;0;3
medo;11;9
melhorar;5;2
menos;8;9
metade;1;0
metotrexato;3;4
molho;0;3
momento;3;2
monte;1;2
moído;3;0
mudar;9;8
mundo;2;4
mão;1;2
nariz;3;1
necessidade;3;9
noite;2;3
notar;1;3
nunca;8;10
nutricionista;2;8
nutrir;2;1
náusea;3;15
observar;7;7
oferecer;0;7
ontem;1;7
oral;3;6
ovo;1;3
paladar;2;5
parar;3;8
parecer;4;5
passar;18;33
pedaço;0;2
pedir;1;8
pensar;3;6
pequeno;3;4
perceber;1;6
perder;8;17
perguntar;2;2
permanecer;1;1
período;2;2
peso;15;21
pesquisar;0;9
pessoa;3;2
pior;2;1
praticamente;2;1
preciso;2;1
preferir;0;2
preso;5;7
problema;9;4
procedimento;1;2
processo;0;3
proibir;0;3
puro;2;1
pó;4;5
pôr;6;2
qualidade;1;2
quantidade;2;5
queijo;1;1
querer;39;32
questão;6;15
quimioterapia;12;45
receio;3;3
recurso;0;3
relacionar;3;4
relutante;2;0
remédio;8;22
resolver;1;3
respirar;2;0
ressecar;0;4
restrição;1;2
resultado;3;0
rim;0;3
ritmo;0;3
ruim;4;4
rápido;4;3
sabor;6;1
sabão;3;3
sair;9;5
salgado;6;1
salvar;3;1
salvação;0;2
saudável;1;5
seguro;2;1
seletivo;0;5
semana;10;6
sensível;3;1
sentar;3;6
sentir;2;16
sofrer;3;3
soltar;1;5
sonda;38;27
suco;2;5
suplemento;26;34
suprir;0;4
tempero;0;5
tomar;40;56
tranquilo;1;8
tratamento;5;18
trocar;2;1
uso;5;4
uti;4;2
vender;4;1
verdura;4;14
verduras;1;5
via;2;7
vida;5;3
vitamina;3;2
voltar;4;17
vomitar;14;20
vontade;3;3
ácido;3;0
água;11;16
ótimo;3;1
