;eixo1;eixo2;cor1;cor2;ctr1;ctr2;massa;qualidade_2d
acabar;-0.4319;0.2884;0.6916;0.3084;0.0019;0.0011;0.00386;1.0
aceitar;0.1556;0.0952;0.7279;0.2721;0.0008;0.0003;0.01159;1.0
acompanhar;-0.7844;0.4044;0.79;0.21;0.0052;0.0017;0.00316;1.0
acostumar;-0.7844;0.4044;0.79;0.21;0.0017;0.0006;0.00105;1.0
acreditar;-0.2557;0.2305;0.5517;0.4483;0.0007;0.0007;0.00386;1.0
adaptar;-0.7844;0.4044;0.79;0.21;0.0017;0.0006;0.00105;1.0
adiantar;0.5082;-0.0208;0.9983;0.0017;0.0015;0.0;0.00211;1.0
adolescente;0.185;0.0855;0.824;0.176;0.0001;0.0;0.0007;1.0
adorar;1.1545;-0.2334;0.9607;0.0393;0.0075;0.0004;0.00211;1.0
agradecer;-1.1503;-1.4049;0.4013;0.5987;0.005;0.0091;0.0014;1.0
ajudar;-0.6158;0.3489;0.757;0.243;0.0082;0.0032;0.00808;1.0
alimentação;0.3684;0.0252;0.9954;0.0046;0.0047;0.0;0.01299;1.0
alteração;1.1545;-0.2334;0.9607;0.0393;0.0038;0.0002;0.00105;1.0
alto;-0.7844;0.4044;0.79;0.21;0.0012;0.0004;0.0007;1.0
ambiente;1.1545;-0.2334;0.9607;0.0393;0.0038;0.0002;0.00105;1.0
amendoim;1.1545;-0.2334;0.9607;0.0393;0.0038;0.0002;0.00105;1.0
apetite;0.9121;-0.1537;0.9724;0.0276;0.0063;0.0002;0.00281;1.0
aprender;0.2927;0.0501;0.9716;0.0284;0.0007;0.0;0.00316;1.0
apresentar;-0.7844;0.4044;0.79;0.21;0.0017;0.0006;0.00105;1.0
arroz;1.1545;-0.2334;0.9607;0.0393;0.015;0.0008;0.00421;1.0
arrumar;-0.7844;0.4044;0.79;0.21;0.0017;0.0006;0.00105;1.0
atrapalhar;-0.7844;0.4044;0.79;0.21;0.0023;0.0008;0.0014;1.0
autismo;-0.1381;0.1918;0.3416;0.6584;0.0001;0.0001;0.00105;1.0
azedo;1.1545;-0.2334;0.9607;0.0393;0.0013;0.0001;0.00035;1.0
açúcar;1.1545;-0.2334;0.9607;0.0393;0.0088;0.0004;0.00246;1.0
bastante;0.2312;0.0703;0.9153;0.0847;0.0011;0.0001;0.00737;1.0
bater;0.5579;-0.0372;0.9956;0.0044;0.0038;0.0;0.00456;1.0
beber;0.2596;0.061;0.9477;0.0523;0.0008;0.0001;0.00456;1.0
bem;0.3286;0.0382;0.9866;0.0134;0.0055;0.0001;0.01896;1.0
benefício;1.1545;-0.2334;0.9607;0.0393;0.0038;0.0002;0.00105;1.0
besteira;1.0524;-0.1999;0.9652;0.0348;0.0198;0.0009;0.00667;1.0
boca;-0.1879;0.2081;0.4489;0.5511;0.0004;0.0007;0.00456;1.0
bola;-0.5466;-3.5332;0.0234;0.9766;0.0006;0.0289;0.0007;1.0
bolo;1.1545;-0.2334;0.9607;0.0393;0.0025;0.0001;0.0007;1.0
bonito;0.5082;-0.0208;0.9983;0.0017;0.0007;0.0;0.00105;1.0
botar;0.5082;-0.0208;0.9983;0.0017;0.0007;0.0;0.00105;1.0
braço;-0.7844;0.4044;0.79;0.21;0.0017;0.0006;0.00105;1.0
brigar;-0.1381;0.1918;0.3416;0.6584;0.0001;0.0001;0.00105;1.0
básico;1.1545;-0.2334;0.9607;0.0393;0.0075;0.0004;0.00211;1.0
cabeça;-0.7844;0.4044;0.79;0.21;0.0029;0.0009;0.00176;1.0
café;-0.2997;0.2449;0.5996;0.4004;0.0003;0.0003;0.0014;1.0
carne;0.9929;-0.1803;0.9681;0.0319;0.0111;0.0005;0.00421;1.0
casa;1.0333;-0.1936;0.9661;0.0339;0.0161;0.0007;0.00562;1.0
casca;1.1545;-0.2334;0.9607;0.0393;0.005;0.0003;0.0014;1.0
cheiro;1.016;-0.1879;0.9669;0.0331;0.0136;0.0006;0.00492;1.0
comer;0.4241;0.0069;0.9997;0.0003;0.0247;0.0;0.05126;1.0
começar;0.0055;0.1445;0.0014;0.9986;0.0;0.0013;0.01896;1.0
comida;0.6585;-0.0703;0.9887;0.0113;0.0175;0.0002;0.0151;1.0
comprar;0.5728;-0.0421;0.9946;0.0054;0.0031;0.0;0.00351;1.0
conhecimento;-1.0666;-3.9134;0.0692;0.9308;0.0075;0.1239;0.00246;1.0
conseguir;-0.3142;0.0227;0.9948;0.0052;0.0032;0.0;0.01194;1.0
consulta;-0.1381;0.1918;0.3416;0.6584;0.0001;0.0001;0.00105;1.0
contar;0.3235;0.0399;0.985;0.015;0.0007;0.0;0.00246;1.0
continuar;0.3789;0.0217;0.9967;0.0033;0.0013;0.0;0.00351;1.0
conversar;-0.7844;0.4044;0.79;0.21;0.0029;0.0009;0.00176;1.0
corpo;-0.0574;0.1652;0.1075;0.8925;0.0;0.0003;0.00281;1.0
correr;0.2927;0.0501;0.9716;0.0284;0.0007;0.0;0.00316;1.0
correto;1.1545;-0.2334;0.9607;0.0393;0.0075;0.0004;0.00211;1.0
cortar;0.8775;-0.1423;0.9744;0.0256;0.0051;0.0002;0.00246;1.0
cozinhar;1.1545;-0.2334;0.9607;0.0393;0.0063;0.0003;0.00176;1.0
cru;1.1545;-0.2334;0.9607;0.0393;0.005;0.0003;0.0014;1.0
cuidado;-1.3972;-5.183;0.0677;0.9323;0.0073;0.1242;0.0014;1.0
câncer;-0.092;0.1766;0.2134;0.7866;0.0001;0.0005;0.00492;1.0
danone;0.185;0.0855;0.824;0.176;0.0001;0.0;0.0007;1.0
dentro;0.6697;-0.074;0.9879;0.0121;0.0017;0.0;0.0014;1.0
depender;-0.0089;0.1493;0.0035;0.9965;0.0;0.0001;0.00176;1.0
descobrir;-0.7844;0.4044;0.79;0.21;0.0029;0.0009;0.00176;1.0
desconto;-0.7844;0.4044;0.79;0.21;0.0012;0.0004;0.0007;1.0
deus;-0.3282;0.2543;0.6249;0.3751;0.0017;0.0013;0.00597;1.0
diagnóstico;-0.1381;0.1918;0.3416;0.6584;0.0001;0.0001;0.00105;1.0
diarreia;-0.2997;0.2449;0.5996;0.4004;0.0003;0.0003;0.0014;1.0
dieta;-0.1381;0.1918;0.3416;0.6584;0.0001;0.0003;0.00211;1.0
diferente;-0.2331;-1.9823;0.0136;0.9864;0.0007;0.0636;0.00492;1.0
dificuldade;-0.1191;0.0547;0.8258;0.1742;0.0008;0.0002;0.02072;1.0
digestão;-0.1381;0.1918;0.3416;0.6584;0.0001;0.0001;0.00105;1.0
diminuir;0.3789;0.0217;0.9967;0.0033;0.0013;0.0;0.00351;1.0
direto;-0.6259;-2.2206;0.0736;0.9264;0.0022;0.0342;0.00211;1.0
doce;0.8562;-0.1353;0.9756;0.0244;0.0179;0.0006;0.00913;1.0
dor;-1.0283;-0.8018;0.6219;0.3781;0.006;0.0045;0.00211;1.0
dormir;-1.0314;-3.3737;0.0855;0.9145;0.004;0.0526;0.0014;1.0
doutor;-0.1001;0.1793;0.2377;0.7623;0.0002;0.0006;0.00597;1.0
dúvida;0.185;0.0855;0.824;0.176;0.0003;0.0001;0.00351;1.0
emagrecer;-0.7844;0.4044;0.79;0.21;0.0017;0.0006;0.00105;1.0
engasgava;-0.7844;0.4044;0.79;0.21;0.0006;0.0002;0.00035;1.0
engolir;-0.7844;0.4044;0.79;0.21;0.004;0.0013;0.00246;1.0
engordar;-0.7844;0.4044;0.79;0.21;0.0052;0.0017;0.00316;1.0
enjoar;-0.1381;0.1918;0.3416;0.6584;0.0003;0.0006;0.00527;1.0
entender;-0.6633;0.3645;0.768;0.232;0.0066;0.0025;0.00562;1.0
entrar;0.3789;0.0217;0.9967;0.0033;0.0007;0.0;0.00176;1.0
errado;0.5082;-0.0208;0.9983;0.0017;0.0007;0.0;0.00105;1.0
específico;-1.2722;-2.008;0.2864;0.7136;0.0046;0.014;0.00105;1.0
esperar;-0.7844;0.4044;0.79;0.21;0.0029;0.0009;0.00176;1.0
essencial;-0.7844;0.4044;0.79;0.21;0.0029;0.0009;0.00176;1.0
estômago;-0.4613;0.2981;0.7054;0.2946;0.0012;0.0006;0.00211;1.0
evitar;-0.7844;0.4044;0.79;0.21;0.0017;0.0006;0.00105;1.0
exame;0.3789;0.0217;0.9967;0.0033;0.0007;0.0;0.00176;1.0
exemplo;0.2927;0.0501;0.9716;0.0284;0.0007;0.0;0.00316;1.0
experiência;-1.1929;-3.3205;0.1143;0.8857;0.008;0.0765;0.00211;1.0
explicar;-0.0794;0.1725;0.1748;0.8252;0.0001;0.0004;0.00386;1.0
falado;-0.7844;0.4044;0.79;0.21;0.0017;0.0006;0.00105;1.0
falta;-0.2997;0.2449;0.5996;0.4004;0.0003;0.0003;0.0014;1.0
fase;-0.4613;0.2981;0.7054;0.2946;0.0012;0.0006;0.00211;1.0
feijão;1.1545;-0.2334;0.9607;0.0393;0.0088;0.0004;0.00246;1.0
final;0.5082;-0.0208;0.9983;0.0017;0.0007;0.0;0.00105;1.0
forma;1.1545;-0.2334;0.9607;0.0393;0.005;0.0003;0.0014;1.0
forte;-0.3967;0.2768;0.6725;0.3275;0.0007;0.0004;0.00176;1.0
forçar;-0.6552;0.3619;0.7662;0.2338;0.0061;0.0023;0.00527;1.0
fraco;-0.7844;0.4044;0.79;0.21;0.0012;0.0004;0.0007;1.0
frango;1.1545;-0.2334;0.9607;0.0393;0.0063;0.0003;0.00176;1.0
frente;-1.76;-4.4205;0.1368;0.8632;0.0087;0.0678;0.00105;1.0
fruta;0.8839;-0.1444;0.974;0.026;0.0316;0.001;0.0151;1.0
funcionar;-1.4116;-2.6973;0.215;0.785;0.0131;0.0589;0.00246;1.0
