forma;parte;score
acabar;0;-0.4711
aceitar;0;-0.7702
acompanhar;0;0.2305
acostumar;0;-0.1283
acreditar;0;-0.1402
adaptar;0;-0.1283
adiantar;0;-0.2567
adolescente;0;-0.0855
adorar;0;-0.2567
agradecer;0;-0.1711
ajudar;0;-0.4559
alimentação;0;-0.9039
alteração;0;3.0885
alto;0;-0.0855
ambiente;0;-0.1283
amendoim;0;-0.1283
apetite;0;1.4954
aprender;0;1.3499
apresentar;0;-0.1283
arroz;0;-0.1625
arrumar;0;-0.1283
atrapalhar;0;0.4873
autismo;0;-0.1283
azedo;0;-0.0428
açúcar;0;-0.2996
bastante;0;0.8956
bater;0;-0.1857
beber;0;-0.557
bem;0;1.5881
benefício;0;-0.1283
besteira;0;-0.815
boca;0;0.4584
bola;0;-0.0855
bolo;0;-0.0855
bonito;0;-0.1283
botar;0;-0.1283
braço;0;-0.1283
brigar;0;0.5921
básico;0;1.881
cabeça;0;0.4101
café;0;-0.1711
carne;0;-0.1625
casa;0;0.346
casca;0;-0.1711
cheiro;0;-0.2098
comer;0;0.405
começar;0;-0.2185
comida;0;-1.8527
comprar;0;-0.4282
conhecimento;0;0.3025
conseguir;0;-0.4332
consulta;0;-0.1283
contar;0;0.8721
continuar;0;0.2028
conversar;0;0.4101
corpo;0;-0.3425
correr;0;0.2305
correto;0;0.3503
cortar;0;-0.2996
cozinhar;0;-0.2139
cru;0;-0.1711
cuidado;0;0.4873
câncer;0;0.4166
danone;0;-0.0855
dentro;0;-0.1711
depender;0;-0.2139
descobrir;0;-0.2139
desconto;0;-0.0855
deus;0;0.6797
diagnóstico;0;-0.1283
diarreia;0;1.3348
dieta;0;0.3503
diferente;0;0.8632
dificuldade;0;0.7375
digestão;0;-0.1283
diminuir;0;-0.4282
direto;0;0.9914
doce;0;0.3506
dor;0;-0.2567
dormir;0;-0.1711
doutor;0;-0.7289
dúvida;0;0.2028
emagrecer;0;-0.1283
engasgava;0;-0.0428
engolir;0;-0.2996
engordar;0;-0.3853
enjoar;0;-0.6429
entender;0;-0.2603
entrar;0;-0.2139
errado;0;-0.1283
específico;0;0.5921
esperar;0;0.4101
essencial;0;-0.2139
estômago;0;-0.2567
evitar;0;-0.1283
exame;0;0.4101
exemplo;0;0.2305
experiência;0;-0.2567
explicar;0;1.1172
falado;0;-0.1283
falta;0;-0.1711
fase;0;0.3503
feijão;0;0.3025
final;0;-0.1283
forma;0;1.3348
forte;0;-0.2139
forçar;0;-0.6429
fraco;0;-0.0855
frango;0;-0.2139
frente;0;-0.1283
fruta;0;-1.1106
funcionar;0;0.8721
furado;0;-0.0428
fácil;0;0.2632
ganhar;0;-0.2567
garrafa;0;-0.3853
gastrostomia;0;-0.6859
geral;0;0.4101
gostar;0;-0.8366
gosto;0;-0.3853
graça;0;0.4166
grosso;0;-0.1283
higiene;0;-0.1857
hipoclorito;0;1.2253
horrível;0;-0.1283
hospital;0;-0.557
importante;0;0.2632
imunidade;0;0.7739
incomodar;0;-0.4282
independente;0;-0.1711
infecção;0;0.5921
interessante;0;-0.2139
internar;0;-0.181
intestino;0;-0.1625
introdução;0;0.5921
inventar;0;-0.1283
invocar;0;-0.0855
início;0;0.5056
japonês;0;-0.1283
lado;0;-0.1711
legume;0;0.6797
leite;0;-0.7289
lembrar;0;-0.2139
levar;0;-0.1711
lidar;0;0.5921
líquido;0;-0.1711
macarrão;0;-0.2567
machucar;0;0.9914
magro;0;-0.2139
maior;0;0.2028
mal;0;0.346
mandar;0;1.1403
manhã;0;-0.1711
manter;0;0.4166
mato;0;-0.1283
medida;0;-0.1283
medo;0;0.2424
melhorar;0;0.3025
menos;0;-0.2865
metade;0;-0.0428
metotrexato;0;0.3025
molho;0;0.5921
momento;0;-0.2139
monte;0;-0.1283
moído;0;-0.1283
mudar;0;-0.7289
mundo;0;-0.2567
mão;0;-0.1283
nariz;0;0.4873
necessidade;0;1.0223
noite;0;-0.2139
notar;0;-0.1711
nunca;0;1.6669
nutricionista;0;-0.4282
nutrir;0;-0.1283
náusea;0;1.6669
observar;0;-0.6
oferecer;0;-0.2996
ontem;0;-0.3425
oral;0;-0.3853
ovo;0;-0.1711
paladar;0;1.6688
parar;0;-0.4711
parecer;0;-0.3853
passar;0;0.4646
pedaço;0;-0.0855
pedir;0;-0.3853
pensar;0;-0.3853
pequeno;0;0.8721
perceber;0;0.3025
perder;0;1.6082
perguntar;0;-0.1711
permanecer;0;0.7478
período;0;-0.1711
peso;0;0.9402
pesquisar;0;0.2305
pessoa;0;0.4101
pior;0;-0.1283
praticamente;0;-0.1283
preciso;0;-0.1283
preferir;0;-0.0855
preso;0;-0.1625
problema;0;-0.557
procedimento;0;0.5921
processo;0;-0.1283
proibir;0;-0.1283
puro;0;0.5921
pó;0;0.2305
pôr;0;-0.3425
qualidade;0;-0.1283
quantidade;0;1.6688
queijo;0;-0.0855
querer;0;-2.1433
questão;0;1.9838
quimioterapia;0;1.4399
receio;0;1.881
recurso;0;-0.1283
relacionar;0;0.3025
relutante;0;-0.0855
remédio;0;-1.2895
resolver;0;-0.1711
respirar;0;-0.0855
ressecar;0;-0.1711
restrição;0;-0.1283
resultado;0;-0.1283
rim;0;-0.1283
ritmo;0;-0.1283
ruim;0;0.2632
rápido;0;-0.2996
sabor;0;0.3025
sabão;0;0.3503
sair;0;-0.6
salgado;0;-0.2996
salvar;0;-0.1711
salvação;0;-0.0855
saudável;0;-0.2567
seguro;0;0.5921
seletivo;0;0.4101
semana;0;-0.2603
sensível;0;0.4873
sentar;0;0.2305
sentir;0;0.6294
sofrer;0;0.3503
soltar;0;-0.2567
sonda;0;-1.318
suco;0;-0.2996
suplemento;0;-0.4898
suprir;0;1.3348
tempero;0;-0.2139
tomar;0;-0.511
tranquilo;0;1.3499
tratamento;0;-0.4559
trocar;0;0.5921
uso;0;0.2305
uti;0;-0.2567
vender;0;-0.2139
verdura;0;0.289
verduras;0;-0.2567
via;0;-0.3853
vida;0;-0.3425
vitamina;0;-0.2139
voltar;0;1.3918
vomitar;0;0.4015
vontade;0;-0.2567
ácido;0;-0.1283
água;0;0.3266
ótimo;0;0.4873
acabar;1;-1.7672
aceitar;1;0.3867
acompanhar;1;-0.3583
acostumar;1;0.1596
acreditar;1;-1.7672
adaptar;1;0.1596
adiantar;1;0.2153
adolescente;1;-0.2208
adorar;1;0.5453
agradecer;1;-1.735
ajudar;1;0.4664
alimentação;1;4.1729
alteração;1;-1.3008
alto;1;0.3996
ambiente;1;0.1596
amendoim;1;0.5995
apetite;1;-0.2103
aprender;1;-0.6895
apresentar;1;0.5995
arroz;1;0.5265
arrumar;1;0.5995
atrapalhar;1;-0.839
autismo;1;0.5995
azedo;1;0.1998
açúcar;1;1.4001
bastante;1;-0.6765
bater;1;-0.4752
beber;1;0.6333
bem;1;-1.7815
benefício;1;0.5995
besteira;1;0.384
boca;1;-1.7447
bola;1;-0.867
bolo;1;0.3996
bonito;1;-0.5122
botar;1;0.5995
braço;1;-1.3008
brigar;1;-0.5122
básico;1;-0.4079
cabeça;1;-0.2168
café;1;0.2758
carne;1;-0.3267
casa;1;0.3695
casca;1;-0.3278
cheiro;1;-0.6462
comer;1;-0.799
começar;1;0.7799
comida;1;0.4716
comprar;1;-0.2703
conhecimento;1;-0.292
conseguir;1;-0.3021
consulta;1;0.5995
contar;1;-0.292
continuar;1;-0.2703
conversar;1;-0.2168
corpo;1;1.6005
correr;1;-0.6895
correto;1;0.2153
cortar;1;0.6924
cozinhar;1;-1.1873
cru;1;-0.3278
cuidado;1;-1.735
câncer;1;0.4369
danone;1;-0.867
dentro;1;0.2758
depender;1;0.4056
descobrir;1;0.4056
desconto;1;0.3996
deus;1;-0.5796
diagnóstico;1;0.5995
diarreia;1;-0.839
dieta;1;-1.5501
diferente;1;0.234
dificuldade;1;0.3213
digestão;1;-1.3008
diminuir;1;0.3341
direto;1;-1.5501
doce;1;-0.6668
dor;1;0.2153
dormir;1;-0.839
doutor;1;0.2556
dúvida;1;-3.0835
emagrecer;1;-0.5122
engasgava;1;0.1998
engolir;1;-1.1625
engordar;1;-0.3583
enjoar;1;0.5274
entender;1;0.6238
entrar;1;0.4056
errado;1;0.1596
específico;1;0.1596
esperar;1;-0.5772
essencial;1;-0.5772
estômago;1;-0.8585
evitar;1;0.5995
exame;1;-0.5772
exemplo;1;-0.3583
experiência;1;-1.5501
explicar;1;0.2085
falado;1;0.5995
falta;1;0.7995
fase;1;-0.8585
feijão;1;-0.292
final;1;0.1596
forma;1;-0.3278
forte;1;0.4056
forçar;1;2.0132
fraco;1;0.3996
frango;1;0.9996
frente;1;0.1596
fruta;1;1.731
funcionar;1;-0.6354
furado;1;-0.4334
fácil;1;-1.4835
ganhar;1;0.2153
garrafa;1;-0.3583
gastrostomia;1;2.1888
geral;1;0.4056
gostar;1;-0.7462
gosto;1;0.5303
graça;1;-0.3803
grosso;1;0.5995
higiene;1;-0.4752
hipoclorito;1;-0.5368
horrível;1;0.5995
hospital;1;0.3532
importante;1;-1.4835
imunidade;1;-0.2103
incomodar;1;0.3341
independente;1;-0.839
infecção;1;0.1596
interessante;1;0.4056
internar;1;0.2398
intestino;1;-0.9657
introdução;1;-0.5122
inventar;1;0.5995
invocar;1;0.3996
início;1;-0.5931
japonês;1;0.5995
lado;1;-0.3278
legume;1;-1.2684
leite;1;-0.5796
lembrar;1;0.9996
levar;1;0.2758
lidar;1;0.1596
líquido;1;0.2758
macarrão;1;0.5453
machucar;1;-1.5501
magro;1;-1.1873
maior;1;-0.2703
mal;1;0.9871
mandar;1;-0.5772
manhã;1;0.2758
manter;1;0.4369
mato;1;0.5995
medida;1;0.5995
medo;1;-2.0141
melhorar;1;-0.6354
menos;1;-0.3518
metade;1;0.1998
metotrexato;1;0.6924
molho;1;0.1596
momento;1;-0.2168
monte;1;0.5995
moído;1;0.5995
mudar;1;0.2556
mundo;1;0.5453
mão;1;0.1596
nariz;1;-0.3278
necessidade;1;-0.3267
noite;1;-0.2168
notar;1;0.2758
nunca;1;-1.5054
nutricionista;1;0.6523
nutrir;1;-0.5122
náusea;1;-0.2858
observar;1;0.234
oferecer;1;1.4001
ontem;1;0.8454
oral;1;1.0031
ovo;1;0.2758
paladar;1;-1.1625
parar;1;1.3294
parecer;1;1.0031
passar;1;0.9907
pedaço;1;0.3996
pedir;1;1.0031
pensar;1;0.2504
pequeno;1;-1.1625
perceber;1;0.6924
perder;1;-0.5338
perguntar;1;-0.3278
permanecer;1;-0.867
período;1;0.2758
peso;1;-0.6621
pesquisar;1;1.0031
pessoa;1;-0.2168
pior;1;0.1596
praticamente;1;-0.5122
preciso;1;-0.5122
preferir;1;0.3996
preso;1;-0.5931
problema;1;-0.2545
procedimento;1;0.1596
processo;1;0.5995
proibir;1;0.5995
puro;1;-0.5122
pó;1;0.5303
pôr;1;0.8454
qualidade;1;0.1596
quantidade;1;-1.1625
queijo;1;0.3996
querer;1;0.2707
questão;1;-0.6765
quimioterapia;1;0.4673
receio;1;-0.8585
recurso;1;0.5995
relacionar;1;-0.292
relutante;1;0.3996
remédio;1;1.4284
resolver;1;0.7995
respirar;1;0.3996
ressecar;1;0.7995
restrição;1;0.5995
resultado;1;0.1596
rim;1;0.5995
ritmo;1;0.5995
ruim;1;-0.8904
rápido;1;0.3102
sabor;1;-0.292
sabão;1;0.2153
sair;1;-0.6462
salgado;1;0.3102
salvar;1;-0.839
salvação;1;0.3996
saudável;1;0.5453
seguro;1;-1.3008
seletivo;1;0.4056
semana;1;-0.6968
sensível;1;-1.735
sentar;1;0.5303
sentir;1;0.8329
sofrer;1;0.2153
soltar;1;0.5453
sonda;1;-0.597
suco;1;0.6924
suplemento;1;0.2634
suprir;1;-0.3278
tempero;1;0.9996
tomar;1;0.695
tranquilo;1;0.2504
tratamento;1;1.4296
trocar;1;-1.3008
uso;1;1.0031
uti;1;-0.4079
vender;1;-0.5772
verdura;1;0.3168
verduras;1;0.5453
via;1;1.801
vida;1;-0.8904
vitamina;1;0.4056
voltar;1;-0.4445
vomitar;1;0.3
vontade;1;-0.4079
ácido;1;0.5995
água;1;0.3619
ótimo;1;-0.839
acabar;2;0.761
aceitar;2;0.562
acompanhar;2;-0.5622
acostumar;2;0.4558
acreditar;2;2.0149
adaptar;2;-0.1872
adiantar;2;0.2382
adolescente;2;-0.1248
adorar;2;-0.3746
agradecer;2;3.5004
ajudar;2;0.4308
alimentação;2;-0.9598
alteração;2;-0.1872
alto;2;-0.1248
