forma;parte;score
acabar;medio;0.8529
aceitar;medio;2.7705
acompanhar;medio;-0.6427
acostumar;medio;0.4298
acreditar;medio;0.8529
adaptar;medio;0.4298
adiantar;medio;-1.2508
adolescente;medio;-0.3161
adorar;medio;-0.2694
agradecer;medio;0.5732
ajudar;medio;1.1105
alimentação;medio;0.847
alteração;medio;-1.6555
alto;medio;0.2865
ambiente;medio;0.4298
amendoim;medio;-1.6555
apetite;medio;-0.3984
aprender;medio;-0.3138
apresentar;medio;0.4298
arroz;medio;0.5218
arrumar;medio;0.4298
atrapalhar;medio;0.1641
autismo;medio;-1.6555
azedo;medio;0.1432
açúcar;medio;0.4306
bastante;medio;0.3595
bater;medio;0.3175
beber;medio;-0.2851
bem;medio;-0.4742
benefício;medio;0.4298
besteira;medio;-0.8696
boca;medio;-0.5388
bola;medio;0.2865
bolo;medio;-1.1033
bonito;medio;0.4298
botar;medio;0.4298
braço;medio;0.4298
brigar;medio;-0.2018
básico;medio;-1.2508
cabeça;medio;0.2458
café;medio;0.5732
carne;medio;0.5218
casa;medio;-0.5552
casca;medio;0.1641
cheiro;medio;0.6977
comer;medio;-0.8243
começar;medio;1.4339
comida;medio;0.3655
comprar;medio;-0.9242
conhecimento;medio;-1.6683
conseguir;medio;0.9277
consulta;medio;-0.2018
contar;medio;-0.2014
continuar;medio;0.3615
conversar;medio;0.2458
corpo;medio;-0.7943
correr;medio;0.2886
correto;medio;0.3352
cortar;medio;0.4306
cozinhar;medio;0.2458
cru;medio;0.1641
cuidado;medio;0.1641
câncer;medio;-0.4515
danone;medio;0.2865
dentro;medio;-1.1559
depender;medio;0.2458
descobrir;medio;0.2458
desconto;medio;-1.1033
deus;medio;-1.1279
diagnóstico;medio;0.4298
diarreia;medio;-0.502
dieta;medio;0.3352
diferente;medio;-0.4515
dificuldade;medio;-2.2369
digestão;medio;0.4298
diminuir;medio;1.4348
direto;medio;-0.2694
doce;medio;-0.3437
dor;medio;0.8602
dormir;medio;0.5732
doutor;medio;-1.1279
dúvida;medio;0.3615
emagrecer;medio;0.4298
engasgava;medio;0.1432
engolir;medio;0.4306
engordar;medio;1.291
enjoar;medio;-2.0228
entender;medio;-0.5552
entrar;medio;0.7166
errado;medio;0.4298
específico;medio;-0.2018
esperar;medio;-0.3643
essencial;medio;0.2458
estômago;medio;0.3352
evitar;medio;-0.2018
exame;medio;-0.3643
exemplo;medio;0.2886
experiência;medio;0.3352
explicar;medio;-0.77
falado;medio;0.4298
falta;medio;-0.502
fase;medio;-0.2694
feijão;medio;0.4306
final;medio;0.4298
forma;medio;-1.1559
forte;medio;0.7166
forçar;medio;0.2355
fraco;medio;0.2865
frango;medio;0.2458
frente;medio;-0.2018
fruta;medio;0.7201
funcionar;medio;-0.9899
furado;medio;0.1432
fácil;medio;0.5308
ganhar;medio;0.8602
garrafa;medio;0.635
gastrostomia;medio;2.2985
geral;medio;0.2458
gostar;medio;1
gosto;medio;0.635
graça;medio;-0.7613
grosso;medio;0.4298
higiene;medio;0.3175
hipoclorito;medio;-0.5228
horrível;medio;0.4298
hospital;medio;-0.8925
importante;medio;0.5308
imunidade;medio;-1.3553
incomodar;medio;0.3615
independente;medio;0.5732
infecção;medio;-0.716
interessante;medio;0.2458
internar;medio;-0.8679
intestino;medio;0.2581
introdução;medio;-0.2018
inventar;medio;-0.2018
invocar;medio;-1.1033
início;medio;-1.0484
japonês;medio;-1.6555
lado;medio;0.1641
legume;medio;-0.7603
leite;medio;0.9843
lembrar;medio;0.2458
levar;medio;-0.502
lidar;medio;-0.2018
líquido;medio;0.5732
macarrão;medio;0.3352
machucar;medio;-0.6556
magro;medio;0.7166
maior;medio;-0.248
mal;medio;-0.3168
mandar;medio;-0.3643
manhã;medio;0.5732
manter;medio;-0.2331
mato;medio;0.4298
medida;medio;0.4298
medo;medio;1.2916
melhorar;medio;0.4306
menos;medio;0.5975
metade;medio;0.1432
metotrexato;medio;0.4306
molho;medio;-0.2018
momento;medio;0.2458
monte;medio;-0.716
moído;medio;0.4298
mudar;medio;0.3403
mundo;medio;0.8602
