form;part;score;sign;observed;expected
tempero;G1;4.283;+;5;0.699
alimentação;G1;4.239;+;15;5.171
pedir;G1;3.381;+;6;1.258
benefício;G1;2.567;+;3;0.419
rim;G1;2.567;+;3;0.419
ritmo;G1;2.567;+;3;0.419
cortar;G1;2.032;+;4;0.978
tratamento;G1;2.011;+;8;3.214
enjoar;G2;3.346;+;9;2.807
náusea;G2;2.592;+;9;3.369
amendoim;G2;2.185;+;3;0.561
autismo;G2;2.185;+;3;0.561
japonês;G2;2.185;+;3;0.561
proibir;G2;2.185;+;3;0.561
doutor;G2;2.15;+;8;3.182
aceitar;G2;2.049;-;1;6.176
braço;G3;2.554;+;3;0.423
digestão;G3;2.554;+;3;0.423
alimentação;G3;2.462;-;0;5.223
dúvida;G5;5.471;+;8;1.338
agradecer;G5;3.5;+;4;0.535
gostar;G5;2.359;+;11;4.682
engolir;G5;2.102;+;4;0.936
salvar;G5;2.067;+;3;0.535
acreditar;G5;2.015;+;5;1.472
diminuir;G6;3.531;+;7;1.699
gastrostomia;G6;3.389;+;9;2.719
via;G6;2.907;+;6;1.529
aceitar;G6;2.75;+;13;5.608
sonda;G6;2.616;-;3;11.046
ajudar;G6;2.594;+;10;3.909
dificuldade;G6;2.239;-;3;10.027
remédio;G6;2.124;+;11;5.098
mundo;G6;2.033;+;4;1.02
oral;G6;2.016;+;5;1.529
parecer;G6;2.016;+;5;1.529
alteração;G7;3.089;+;3;0.281
querer;G7;2.143;-;1;6.656
pôr;G8;2.771;+;5;1.076
moído;G8;2.617;+;3;0.403
ácido;G8;2.617;+;3;0.403
uso;G8;2.469;+;5;1.21
sabor;G8;2.093;+;4;0.941
salgado;G8;2.093;+;4;0.941
