forma;parte;score
acabar;G1;-0.2742
aceitar;G1;0.3027
acompanhar;G1;-0.1971
acostumar;G1;0.4395
acreditar;G1;-0.7205
adaptar;G1;-0.1962
adiantar;G1;-0.3926
adolescente;G1;-0.1308
adorar;G1;-0.3926
agradecer;G1;-0.2616
ajudar;G1;0.3936
alimentação;G1;4.2387
alteração;G1;-0.1962
alto;G1;0.585
ambiente;G1;0.4395
amendoim;G1;-0.1962
apetite;G1;-0.1613
aprender;G1;0.4379
apresentar;G1;-0.1962
arroz;G1;-0.7861
arrumar;G1;1.2754
atrapalhar;G1;-0.2616
autismo;G1;-0.1962
azedo;G1;-0.0654
açúcar;G1;-0.4581
bastante;G1;0.4732
bater;G1;0.2512
beber;G1;-0.3573
bem;G1;-0.451
benefício;G1;2.5668
besteira;G1;0.2941
boca;G1;-0.8518
bola;G1;-0.1308
bolo;G1;-0.1308
bonito;G1;-0.1962
botar;G1;1.2754
braço;G1;-0.1962
brigar;G1;-0.1962
básico;G1;0.2254
cabeça;G1;-0.3271
café;G1;0.3443
carne;G1;-0.7861
casa;G1;1.2155
casca;G1;-0.2616
cheiro;G1;0.5087
comer;G1;-0.484
começar;G1;0.9095
comida;G1;0.4036
comprar;G1;-0.6549
conhecimento;G1;-0.4581
conseguir;G1;0.4732
consulta;G1;-0.1962
contar;G1;-0.4581
continuar;G1;-0.6549
conversar;G1;0.8354
corpo;G1;1.0535
correr;G1;-0.1971
correto;G1;0.6999
cortar;G1;2.0325
cozinhar;G1;-0.3271
cru;G1;-0.2616
cuidado;G1;-0.2616
câncer;G1;0.9211
danone;G1;-0.1308
dentro;G1;-0.2616
depender;G1;-0.3271
descobrir;G1;-0.3271
desconto;G1;-0.1308
deus;G1;-1.1147
diagnóstico;G1;1.2754
diarreia;G1;-0.2616
dieta;G1;0.2254
diferente;G1;0.22
dificuldade;G1;0.7155
digestão;G1;-0.1962
diminuir;G1;-0.6549
direto;G1;-0.3926
doce;G1;-1.7078
dor;G1;-0.3926
dormir;G1;-0.2616
doutor;G1;-0.2452
dúvida;G1;-0.6549
emagrecer;G1;-0.1962
engasgava;G1;0.8547
engolir;G1;-0.4581
engordar;G1;0.9232
enjoar;G1;-0.9832
entender;G1;0.7572
entrar;G1;0.8354
errado;G1;0.4395
específico;G1;1.2754
esperar;G1;-0.3271
essencial;G1;0.2764
estômago;G1;-0.3926
evitar;G1;1.2754
exame;G1;-0.3271
exemplo;G1;0.4379
experiência;G1;-0.3926
explicar;G1;0.3296
falado;G1;0.4395
falta;G1;0.3443
fase;G1;-0.3926
feijão;G1;-0.4581
final;G1;0.4395
forma;G1;0.3443
forte;G1;-0.3271
forçar;G1;-0.4453
fraco;G1;0.585
frango;G1;-0.3271
frente;G1;-0.1962
fruta;G1;-0.5822
funcionar;G1;-0.4581
furado;G1;-0.0654
fácil;G1;-0.1613
ganhar;G1;-0.3926
garrafa;G1;0.9232
gastrostomia;G1;-1.049
geral;G1;0.2764
gostar;G1;-0.3499
gosto;G1;0.4379
graça;G1;-0.9175
grosso;G1;-0.1962
higiene;G1;0.2512
hipoclorito;G1;0.3792
horrível;G1;1.2754
hospital;G1;-0.8518
importante;G1;0.5082
imunidade;G1;-0.5237
incomodar;G1;0.8136
independente;G1;-0.2616
infecção;G1;0.4395
interessante;G1;0.2764
internar;G1;-0.411
intestino;G1;-0.3151
introdução;G1;-0.1962
inventar;G1;-0.1962
invocar;G1;-0.1308
início;G1;-0.7861
japonês;G1;-0.1962
lado;G1;-0.2616
legume;G1;-0.5373
leite;G1;-1.1147
lembrar;G1;0.2764
levar;G1;0.3443
lidar;G1;1.2754
líquido;G1;-0.2616
macarrão;G1;0.2254
machucar;G1;-0.3926
magro;G1;0.2764
maior;G1;-0.2348
mal;G1;0.4073
mandar;G1;0.8354
manhã;G1;1.0161
manter;G1;0.9211
mato;G1;-0.1962
medida;G1;0.4395
medo;G1;0.8666
melhorar;G1;-0.4581
menos;G1;0.3651
metade;G1;-0.0654
