forma;parte;score
acabar;4;-1.2401
aceitar;4;-1.0103
acompanhar;4;-0.4494
acostumar;4;-0.3377
acreditar;4;-0.2805
adaptar;4;0.2672
adiantar;4;-0.6758
adolescente;4;-0.2251
adorar;4;-0.232
agradecer;4;-0.4503
ajudar;4;-1.7033
alimentação;4;-0.6454
alteração;4;1.9264
alto;4;0.3932
ambiente;4;-0.3377
amendoim;4;-0.3377
apetite;4;0.5719
aprender;4;0.8957
apresentar;4;0.8781
arroz;4;0.9371
arrumar;4;-0.3377
atrapalhar;4;0.6469
autismo;4;-0.3377
azedo;4;-0.1125
açúcar;4;0.6998
bastante;4;0.4667
bater;4;0.223
beber;4;0.4648
bem;4;0.631
benefício;4;-0.3377
besteira;4;-0.8063
boca;4;-0.3962
bola;4;-0.2251
bolo;4;-0.2251
bonito;4;0.2672
botar;4;0.2672
braço;4;-0.3377
brigar;4;0.2672
básico;4;1.5668
cabeça;4;-0.1683
café;4;-0.4503
carne;4;0.5454
casa;4;-0.5913
casca;4;0.1901
cheiro;4;0.3966
comer;4;-0.9289
começar;4;0.8255
comida;4;-0.6966
comprar;4;-1.1272
conhecimento;4;-0.3006
conseguir;4;0.2775
consulta;4;0.2672
contar;4;0.6998
continuar;4;0.389
conversar;4;0.4931
corpo;4;-0.9014
correr;4;-0.1794
correto;4;-0.232
cortar;4;-0.7885
cozinhar;4;-0.563
cru;4;-0.4503
cuidado;4;0.1901
câncer;4;-0.4587
danone;4;-0.2251
dentro;4;-0.4503
depender;4;-0.1683
descobrir;4;-0.563
desconto;4;-0.2251
deus;4;0.2469
diagnóstico;4;-0.3377
diarreia;4;0.6469
dieta;4;-0.232
diferente;4;0.3966
dificuldade;4;0.3145
digestão;4;-0.3377
diminuir;4;-1.1272
direto;4;0.8654
doce;4;0.9331
dor;4;0.3832
dormir;4;0.1901
doutor;4;-1.9189
dúvida;4;-0.5284
emagrecer;4;-0.3377
engasgava;4;-0.1125
engolir;4;-0.3006
engordar;4;-0.1794
enjoar;4;-0.5238
entender;4;0.2892
entrar;4;-0.1683
errado;4;0.2672
específico;4;0.2672
esperar;4;0.4931
essencial;4;-0.563
estômago;4;-0.232
evitar;4;-0.3377
exame;4;-0.1683
exemplo;4;-0.4494
experiência;4;-0.6758
explicar;4;1.0845
falado;4;0.2672
falta;4;-0.4503
fase;4;0.3832
feijão;4;1.2842
final;4;-0.3377
forma;4;0.6469
forte;4;-0.1683
forçar;4;0.3386
fraco;4;-0.2251
frango;4;-0.1683
frente;4;-0.3377
fruta;4;0.5815
funcionar;4;0.6998
furado;4;-0.1125
fácil;4;-0.3733
ganhar;4;-0.232
garrafa;4;-1.0142
gastrostomia;4;0.8668
geral;4;-0.1683
gostar;4;0.393
gosto;4;0.4705
graça;4;-0.2227
grosso;4;0.2672
higiene;4;0.223
hipoclorito;4;0.7562
horrível;4;0.2672
hospital;4;-0.7791
importante;4;-0.3733
imunidade;4;0.5719
incomodar;4;-0.5284
independente;4;-0.4503
infecção;4;0.2672
interessante;4;-0.563
internar;4;-0.3843
intestino;4;-0.6935
introdução;4;0.2672
inventar;4;0.2672
invocar;4;-0.2251
início;4;0.5454
japonês;4;-0.3377
lado;4;0.1901
legume;4;-0.3628
leite;4;-0.3628
lembrar;4;0.4931
levar;4;-0.4503
lidar;4;0.2672
líquido;4;0.1901
macarrão;4;-0.6758
machucar;4;0.3832
magro;4;-0.563
maior;4;0.389
mal;4;0.5336
mandar;4;0.4931
manhã;4;-0.4503
manter;4;-0.2227
mato;4;0.2672
medida;4;-0.3377
medo;4;-0.8816
melhorar;4;0.6998
menos;4;-0.3628
metade;4;0.6416
metotrexato;4;1.2842
molho;4;0.2672
momento;4;-0.1683
monte;4;0.2672
moído;4;1.9264
mudar;4;-0.3628
mundo;4;-0.232
mão;4;-0.3377
nariz;4;1.4056
necessidade;4;0.5454
noite;4;-0.563
notar;4;-0.4503
nunca;4;1.0294
nutricionista;4;-1.1272
nutrir;4;-0.3377
náusea;4;0.6764
observar;4;-0.4587
oferecer;4;-0.7885
ontem;4;-0.9014
oral;4;-0.1794
ovo;4;-0.4503
paladar;4;0.6998
parar;4;-0.2805
parecer;4;0.4705
passar;4;1.0017
pedaço;4;-0.2251
pedir;4;-1.0142
pensar;4;-1.0142
pequeno;4;0.3015
perceber;4;0.3015
perder;4;1.0245
perguntar;4;-0.4503
permanecer;4;0.3932
período;4;0.1901
peso;4;0.7474
pesquisar;4;-0.4494
pessoa;4;1.0877
pior;4;0.2672
praticamente;4;-0.3377
preciso;4;-0.3377
preferir;4;-0.2251
preso;4;-0.6935
problema;4;0.4648
procedimento;4;0.8781
processo;4;-0.3377
proibir;4;-0.3377
puro;4;0.8781
pó;4;0.8957
pôr;4;1.7362
qualidade;4;-0.3377
quantidade;4;0.6998
queijo;4;0.3932
querer;4;-0.367
questão;4;1.077
quimioterapia;4;-0.242
receio;4;2.5262
recurso;4;-0.3377
relacionar;4;0.3015
relutante;4;1.2838
remédio;4;-1.7051
resolver;4;0.1901
respirar;4;1.2838
ressecar;4;-0.4503
restrição;4;0.2672
resultado;4;0.8781
rim;4;-0.3377
ritmo;4;-0.3377
ruim;4;-0.3733
rápido;4;0.3015
sabor;4;2.0725
sabão;4;0.8654
sair;4;-0.4587
salgado;4;1.2842
salvar;4;-0.4503
salvação;4;-0.2251
saudável;4;-0.6758
seguro;4;0.2672
seletivo;4;-0.1683
semana;4;0.2892
sensível;4;0.1901
sentar;4;0.4705
sentir;4;-0.2176
sofrer;4;0.8654
soltar;4;-0.6758
sonda;4;0.2761
suco;4;-0.3006
suplemento;4;-0.4385
suprir;4;0.6469
tempero;4;-0.563
tomar;4;0.3626
tranquilo;4;0.8957
tratamento;4;-0.711
trocar;4;0.2672
uso;4;2.2131
uti;4;-0.232
vender;4;-0.1683
verdura;4;-0.7327
verduras;4;-0.6758
via;4;-0.1794
vida;4;-0.9014
vitamina;4;0.4931
voltar;4;0.2662
vomitar;4;0.6349
vontade;4;-0.6758
ácido;4;1.9264
água;4;0.5839
ótimo;4;0.6469
acabar;6;1.2401
aceitar;6;1.0103
acompanhar;6;0.4494
acostumar;6;0.3377
acreditar;6;0.2805
adaptar;6;-0.2672
adiantar;6;0.6758
adolescente;6;0.2251
adorar;6;0.232
agradecer;6;0.4503
ajudar;6;1.7033
alimentação;6;0.6454
alteração;6;-1.9264
alto;6;-0.3932
ambiente;6;0.3377
amendoim;6;0.3377
apetite;6;-0.5719
aprender;6;-0.8957
apresentar;6;-0.8781
arroz;6;-0.9371
arrumar;6;0.3377
atrapalhar;6;-0.6469
autismo;6;0.3377
azedo;6;0.1125
açúcar;6;-0.6998
bastante;6;-0.4667
bater;6;-0.223
beber;6;-0.4648
bem;6;-0.631
benefício;6;0.3377
besteira;6;0.8063
boca;6;0.3962
bola;6;0.2251
bolo;6;0.2251
bonito;6;-0.2672
botar;6;-0.2672
braço;6;0.3377
brigar;6;-0.2672
básico;6;-1.5668
cabeça;6;0.1683
café;6;0.4503
carne;6;-0.5454
casa;6;0.5913
casca;6;-0.1901
cheiro;6;-0.3966
comer;6;0.9289
começar;6;-0.8255
comida;6;0.6966
comprar;6;1.1272
conhecimento;6;0.3006
conseguir;6;-0.2775
consulta;6;-0.2672
contar;6;-0.6998
continuar;6;-0.389
conversar;6;-0.4931
corpo;6;0.9014
correr;6;0.1794
correto;6;0.232
cortar;6;0.7885
cozinhar;6;0.563
cru;6;0.4503
cuidado;6;-0.1901
câncer;6;0.4587
danone;6;0.2251
dentro;6;0.4503
depender;6;0.1683
descobrir;6;0.563
desconto;6;0.2251
deus;6;-0.2469
diagnóstico;6;0.3377
diarreia;6;-0.6469
dieta;6;0.232
diferente;6;-0.3966
dificuldade;6;-0.3145
digestão;6;0.3377
diminuir;6;1.1272
direto;6;-0.8654
doce;6;-0.9331
dor;6;-0.3832
dormir;6;-0.1901
doutor;6;1.9189
dúvida;6;0.5284
emagrecer;6;0.3377
engasgava;6;0.1125
engolir;6;0.3006
engordar;6;0.1794
enjoar;6;0.5238
entender;6;-0.2892
entrar;6;0.1683
errado;6;-0.2672
específico;6;-0.2672
esperar;6;-0.4931
essencial;6;0.563
estômago;6;0.232
evitar;6;0.3377
exame;6;0.1683
exemplo;6;0.4494
experiência;6;0.6758
explicar;6;-1.0845
falado;6;-0.2672
falta;6;0.4503
fase;6;-0.3832
feijão;6;-1.2842
final;6;0.3377
forma;6;-0.6469
forte;6;0.1683
forçar;6;-0.3386
fraco;6;0.2251
frango;6;0.1683
frente;6;0.3377
fruta;6;-0.5815
funcionar;6;-0.6998
furado;6;0.1125
fácil;6;0.3733
ganhar;6;0.232
garrafa;6;1.0142
gastrostomia;6;-0.8668
geral;6;0.1683
gostar;6;-0.393
gosto;6;-0.4705
graça;6;0.2227
grosso;6;-0.2672
higiene;6;-0.223
hipoclorito;6;-0.7562
horrível;6;-0.2672
hospital;6;0.7791
importante;6;0.3733
imunidade;6;-0.5719
incomodar;6;0.5284
independente;6;0.4503
infecção;6;-0.2672
interessante;6;0.563
internar;6;0.3843
intestino;6;0.6935
introdução;6;-0.2672
inventar;6;-0.2672
invocar;6;0.2251
início;6;-0.5454
japonês;6;0.3377
lado;6;-0.1901
legume;6;0.3628
leite;6;0.3628
lembrar;6;-0.4931
levar;6;0.4503
lidar;6;-0.2672
líquido;6;-0.1901
macarrão;6;0.6758
machucar;6;-0.3832
magro;6;0.563
maior;6;-0.389
mal;6;-0.5336
mandar;6;-0.4931
manhã;6;0.4503
manter;6;0.2227
mato;6;-0.2672
medida;6;0.3377
medo;6;0.8816
melhorar;6;-0.6998
menos;6;0.3628
metade;6;-0.6416
metotrexato;6;-1.2842
molho;6;-0.2672
momento;6;0.1683
monte;6;-0.2672
moído;6;-1.9264
mudar;6;0.3628
mundo;6;0.232
mão;6;0.3377
nariz;6;-1.4056
necessidade;6;-0.5454
noite;6;0.563
notar;6;0.4503
nunca;6;-1.0294
nutricionista;6;1.1272
nutrir;6;0.3377
náusea;6;-0.6764
observar;6;0.4587
oferecer;6;0.7885
ontem;6;0.9014
oral;6;0.1794
ovo;6;0.4503
paladar;6;-0.6998
parar;6;0.2805
parecer;6;-0.4705
passar;6;-1.0017
pedaço;6;0.2251
pedir;6;1.0142
pensar;6;1.0142
pequeno;6;-0.3015
perceber;6;-0.3015
perder;6;-1.0245
perguntar;6;0.4503
permanecer;6;-0.3932
período;6;-0.1901
peso;6;-0.7474
pesquisar;6;0.4494
pessoa;6;-1.0877
pior;6;-0.2672
praticamente;6;0.3377
preciso;6;0.3377
preferir;6;0.2251
preso;6;0.6935
problema;6;-0.4648
procedimento;6;-0.8781
processo;6;0.3377
proibir;6;0.3377
puro;6;-0.8781
pó;6;-0.8957
pôr;6;-1.7362
qualidade;6;0.3377
quantidade;6;-0.6998
queijo;6;-0.3932
querer;6;0.367
questão;6;-1.077
quimioterapia;6;0.242
receio;6;-2.5262
recurso;6;0.3377
relacionar;6;-0.3015
relutante;6;-1.2838
remédio;6;1.7051
resolver;6;-0.1901
respirar;6;-1.2838
ressecar;6;0.4503
restrição;6;-0.2672
resultado;6;-0.8781
rim;6;0.3377
ritmo;6;0.3377
ruim;6;0.3733
rápido;6;-0.3015
sabor;6;-2.0725
sabão;6;-0.8654
sair;6;0.4587
salgado;6;-1.2842
salvar;6;0.4503
salvação;6;0.2251
saudável;6;0.6758
seguro;6;-0.2672
seletivo;6;0.1683
semana;6;-0.2892
sensível;6;-0.1901
sentar;6;-0.4705
sentir;6;0.2176
sofrer;6;-0.8654
soltar;6;0.6758
sonda;6;-0.2761
suco;6;0.3006
suplemento;6;0.4385
suprir;6;-0.6469
tempero;6;0.563
tomar;6;-0.3626
tranquilo;6;-0.8957
tratamento;6;0.711
trocar;6;-0.2672
uso;6;-2.2131
uti;6;0.232
vender;6;0.1683
verdura;6;0.7327
verduras;6;0.6758
via;6;0.1794
vida;6;0.9014
vitamina;6;-0.4931
voltar;6;-0.2662
vomitar;6;-0.6349
vontade;6;0.6758
ácido;6;-1.9264
água;6;-0.5839
ótimo;6;-0.6469
