form;part;score;sign;observed;expected
gastrostomia;centro-oeste;5.64;+;16;7.129
parecer;centro-oeste;3.167;+;9;4.01
besteira;centro-oeste;2.777;-;2;8.466
dificuldade;centro-oeste;2.76;-;15;26.289
dúvida;centro-oeste;2.567;-;0;4.456
sentir;centro-oeste;2.564;-;2;8.02
diminuir;centro-oeste;2.388;+;9;4.456
dor;centro-oeste;2.109;+;6;2.673
ganhar;centro-oeste;2.109;+;6;2.673
uso;centro-oeste;2.078;+;8;4.01
via;centro-oeste;2.078;+;8;4.01
enjoar;norte;3.346;+;9;2.807
náusea;norte;2.592;+;9;3.369
amendoim;norte;2.185;+;3;0.561
autismo;norte;2.185;+;3;0.561
japonês;norte;2.185;+;3;0.561
proibir;norte;2.185;+;3;0.561
doutor;norte;2.15;+;8;3.182
aceitar;norte;2.049;-;1;6.176
remédio;sudeste;3.772;-;2;11.018
gastrostomia;sudeste;3.191;-;0;5.876
dúvida;sudeste;3.098;+;9;3.673
tempero;sudeste;2.178;+;5;1.836
