forma;parte;score
acabar;centro-oeste;0.4494
aceitar;centro-oeste;1.3379
acompanhar;centro-oeste;-0.1993
acostumar;centro-oeste;-0.2356
acreditar;centro-oeste;0.2281
adaptar;centro-oeste;1.0538
adiantar;centro-oeste;-0.7726
adolescente;centro-oeste;0.1595
adorar;centro-oeste;0.6059
agradecer;centro-oeste;-1.0254
ajudar;centro-oeste;0.5264
alimentação;centro-oeste;-0.7956
alteração;centro-oeste;-0.7688
alto;centro-oeste;0.1595
ambiente;centro-oeste;0.3781
amendoim;centro-oeste;-0.7688
apetite;centro-oeste;0.2901
aprender;centro-oeste;-0.1993
apresentar;centro-oeste;1.0538
arroz;centro-oeste;0.9773
arrumar;centro-oeste;-0.2356
atrapalhar;centro-oeste;-0.4
autismo;centro-oeste;-0.7688
azedo;centro-oeste;0.3511
açúcar;centro-oeste;1.4725
bastante;centro-oeste;-0.6825
bater;centro-oeste;0.7701
beber;centro-oeste;0.2514
bem;centro-oeste;0.3469
benefício;centro-oeste;-0.7688
besteira;centro-oeste;-2.7765
boca;centro-oeste;-0.3571
bola;centro-oeste;0.7023
bolo;centro-oeste;-0.5124
bonito;centro-oeste;0.3781
botar;centro-oeste;-0.2356
braço;centro-oeste;1.0538
brigar;centro-oeste;-0.2356
básico;centro-oeste;-0.7726
cabeça;centro-oeste;0.8975
café;centro-oeste;0.2205
carne;centro-oeste;0.9773
casa;centro-oeste;-1.0441
casca;centro-oeste;0.6281
cheiro;centro-oeste;-0.2521
comer;centro-oeste;-0.7663
começar;centro-oeste;0.4633
comida;centro-oeste;-0.6859
comprar;centro-oeste;-1.6089
conhecimento;centro-oeste;-0.4883
conseguir;centro-oeste;0.6843
consulta;centro-oeste;0.3781
contar;centro-oeste;0.8329
continuar;centro-oeste;0.5988
conversar;centro-oeste;-0.5806
corpo;centro-oeste;-1.1801
correr;centro-oeste;0.7995
correto;centro-oeste;-0.3464
cortar;centro-oeste;-0.4883
cozinhar;centro-oeste;0.3994
cru;centro-oeste;0.2205
cuidado;centro-oeste;0.2205
câncer;centro-oeste;-1.1744
danone;centro-oeste;-0.5124
dentro;centro-oeste;-0.4
depender;centro-oeste;0.8975
descobrir;centro-oeste;0.3994
desconto;centro-oeste;-0.5124
deus;centro-oeste;-0.5193
diagnóstico;centro-oeste;-0.2356
diarreia;centro-oeste;0.2205
dieta;centro-oeste;-0.3464
diferente;centro-oeste;-0.2521
dificuldade;centro-oeste;-2.7596
digestão;centro-oeste;1.0538
diminuir;centro-oeste;2.388
direto;centro-oeste;0.26
doce;centro-oeste;-0.3103
dor;centro-oeste;2.1093
dormir;centro-oeste;0.6281
doutor;centro-oeste;-0.8098
dúvida;centro-oeste;-2.5671
emagrecer;centro-oeste;0.3781
engasgava;centro-oeste;-0.2562
engolir;centro-oeste;-0.4883
engordar;centro-oeste;-0.4301
enjoar;centro-oeste;-1.3452
entender;centro-oeste;-1.0441
entrar;centro-oeste;-0.2209
errado;centro-oeste;0.3781
específico;centro-oeste;-0.7688
esperar;centro-oeste;0.3994
essencial;centro-oeste;-0.2209
estômago;centro-oeste;0.26
evitar;centro-oeste;-0.7688
exame;centro-oeste;-0.5806
exemplo;centro-oeste;-0.4301
experiência;centro-oeste;0.26
explicar;centro-oeste;-0.3887
falado;centro-oeste;0.3781
falta;centro-oeste;-0.4
fase;centro-oeste;-0.3464
feijão;centro-oeste;0.8329
final;centro-oeste;0.3781
forma;centro-oeste;-1.0254
forte;centro-oeste;1.7573
forçar;centro-oeste;0.7645
fraco;centro-oeste;0.1595
frango;centro-oeste;0.8975
frente;centro-oeste;0.3781
fruta;centro-oeste;1.3029
funcionar;centro-oeste;-0.2092
furado;centro-oeste;0.3511
fácil;centro-oeste;0.5991
ganhar;centro-oeste;2.1093
garrafa;centro-oeste;0.4342
gastrostomia;centro-oeste;5.6402
geral;centro-oeste;0.3994
gostar;centro-oeste;-0.4483
gosto;centro-oeste;0.4342
graça;centro-oeste;-0.2521
grosso;centro-oeste;1.0538
higiene;centro-oeste;-0.6247
hipoclorito;centro-oeste;-0.9823
horrível;centro-oeste;-0.2356
hospital;centro-oeste;-0.3571
importante;centro-oeste;0.2901
imunidade;centro-oeste;-0.6431
incomodar;centro-oeste;-0.5605
independente;centro-oeste;0.6281
infecção;centro-oeste;-0.7688
interessante;centro-oeste;0.3994
internar;centro-oeste;-0.7937
intestino;centro-oeste;0.3368
introdução;centro-oeste;-0.2356
inventar;centro-oeste;0.3781
invocar;centro-oeste;-0.5124
início;centro-oeste;0.3368
japonês;centro-oeste;-0.7688
lado;centro-oeste;0.2205
legume;centro-oeste;-1.1977
leite;centro-oeste;0.7621
lembrar;centro-oeste;0.3994
levar;centro-oeste;-0.4
lidar;centro-oeste;-0.7688
líquido;centro-oeste;1.4055
macarrão;centro-oeste;0.6059
machucar;centro-oeste;0.26
magro;centro-oeste;0.3994
maior;centro-oeste;0.3151
mal;centro-oeste;-0.2386
mandar;centro-oeste;-0.5806
manhã;centro-oeste;-0.4
manter;centro-oeste;-0.2521
mato;centro-oeste;1.0538
medida;centro-oeste;0.3781
medo;centro-oeste;0.2439
melhorar;centro-oeste;1.4725
menos;centro-oeste;0.7621
metade;centro-oeste;0.3511
metotrexato;centro-oeste;-0.2092
molho;centro-oeste;-0.7688
momento;centro-oeste;0.3994
monte;centro-oeste;-0.2356
moído;centro-oeste;1.0538
mudar;centro-oeste;1.1167
mundo;centro-oeste;1.1801
mão;centro-oeste;-0.2356
nariz;centro-oeste;0.2205
necessidade;centro-oeste;-0.5016
noite;centro-oeste;0.3994
notar;centro-oeste;0.6281
nunca;centro-oeste;-0.2269
nutricionista;centro-oeste;-0.2874
nutrir;centro-oeste;-0.2356
náusea;centro-oeste;-1.8876
observar;centro-oeste;0.6069
oferecer;centro-oeste;-0.2092
ontem;centro-oeste;-0.3122
oral;centro-oeste;1.33
ovo;centro-oeste;-1.0254
paladar;centro-oeste;-0.4883
parar;centro-oeste;0.7807
parecer;centro-oeste;3.1666
passar;centro-oeste;0.3861
pedaço;centro-oeste;-0.5124
pedir;centro-oeste;-0.8084
