forma;parte;score
acabar;feminino;1.4727
aceitar;feminino;-0.2986
acompanhar;feminino;-0.3382
acostumar;feminino;-0.1976
acreditar;feminino;1.4727
adaptar;feminino;0.437
adiantar;feminino;-0.28
adolescente;feminino;0.1862
adorar;feminino;-0.28
agradecer;feminino;1.5527
ajudar;feminino;-0.9773
alimentação;feminino;-2.4274
alteração;feminino;-0.6865
alto;feminino;0.1862
ambiente;feminino;-0.1976
amendoim;feminino;-0.6865
apetite;feminino;-1.8327
aprender;feminino;-0.3382
apresentar;feminino;0.437
arroz;feminino;0.444
arrumar;feminino;-0.6865
atrapalhar;feminino;0.7211
autismo;feminino;-0.6865
azedo;feminino;-0.2287
açúcar;feminino;0.2214
bastante;feminino;-0.3115
bater;feminino;0.6012
beber;feminino;0.6012
bem;feminino;0.3436
benefício;feminino;-0.6865
besteira;feminino;0.2627
boca;feminino;0.6012
bola;feminino;0.7759
bolo;feminino;-0.4575
bonito;feminino;1.1642
botar;feminino;-0.1976
braço;feminino;1.1642
brigar;feminino;-0.1976
básico;feminino;-0.6602
cabeça;feminino;-0.4939
café;feminino;-0.3382
carne;feminino;0.7573
casa;feminino;-1.2545
casca;feminino;0.7211
cheiro;feminino;1.1742
comer;feminino;-0.4575
começar;feminino;-0.2622
comida;feminino;0.739
comprar;feminino;-0.215
conhecimento;feminino;-0.3986
conseguir;feminino;0.7393
consulta;feminino;-0.1976
contar;feminino;-0.3986
continuar;feminino;0.4083
conversar;feminino;-0.1763
corpo;feminino;-1.8327
correr;feminino;0.5432
correto;feminino;-0.6602
cortar;feminino;-0.8346
cozinhar;feminino;1.0256
cru;feminino;0.2668
cuidado;feminino;0.7211
câncer;feminino;-1.4703
danone;feminino;0.7759
dentro;feminino;-0.3382
depender;feminino;-0.1763
descobrir;feminino;-0.4939
desconto;feminino;-0.4575
deus;feminino;-0.3808
diagnóstico;feminino;-0.6865
diarreia;feminino;-0.3382
dieta;feminino;0.7162
diferente;feminino;-0.9595
dificuldade;feminino;-0.9768
digestão;feminino;1.1642
diminuir;feminino;-0.4453
direto;feminino;0.7162
doce;feminino;1.2051
dor;feminino;0.7162
dormir;feminino;1.5527
doutor;feminino;-0.3808
dúvida;feminino;1.845
emagrecer;feminino;0.437
engasgava;feminino;-0.2287
engolir;feminino;1.6722
engordar;feminino;0.9592
enjoar;feminino;-0.2361
entender;feminino;-0.3045
entrar;feminino;-0.1763
errado;feminino;0.437
específico;feminino;-0.6865
esperar;feminino;0.4766
essencial;feminino;0.4766
estômago;feminino;1.3439
evitar;feminino;-0.6865
exame;feminino;-0.1763
exemplo;feminino;-0.3382
experiência;feminino;1.3439
explicar;feminino;-0.5622
falado;feminino;-0.1976
falta;feminino;-0.9155
fase;feminino;0.7162
feijão;feminino;0.9773
final;feminino;-0.1976
forma;feminino;-0.9155
forte;feminino;-0.1763
forçar;feminino;-0.4271
fraco;feminino;-0.4575
frango;feminino;-0.4939
frente;feminino;-0.1976
fruta;feminino;0.4126
funcionar;feminino;0.2214
furado;feminino;0.3878
fácil;feminino;0.7252
ganhar;feminino;0.3231
garrafa;feminino;0.2668
