forma;parte;score
acabar;feminino;0.4424
aceitar;feminino;2.0486
acompanhar;feminino;-0.6417
acostumar;feminino;0.2701
acreditar;feminino;0.9918
adaptar;feminino;0.2701
adiantar;feminino;-1.8786
adolescente;feminino;-0.4694
adorar;feminino;-0.5044
agradecer;feminino;0.3602
ajudar;feminino;0.778
alimentação;feminino;0.351
alteração;feminino;0.2701
alto;feminino;0.18
ambiente;feminino;0.2701
amendoim;feminino;-2.1854
apetite;feminino;0.7209
aprender;feminino;0.8112
apresentar;feminino;0.2701
arroz;feminino;0.5052
arrumar;feminino;0.2701
atrapalhar;feminino;0.3602
autismo;feminino;-2.1854
azedo;feminino;0.09
açúcar;feminino;0.213
bastante;feminino;1.128
bater;feminino;0.26
beber;feminino;-0.6699
bem;feminino;0.7433
benefício;feminino;0.2701
besteira;feminino;-1.809
boca;feminino;-0.3463
bola;feminino;0.18
bolo;feminino;-1.4563
bonito;feminino;0.2701
botar;feminino;0.2701
braço;feminino;0.2701
brigar;feminino;0.2701
básico;feminino;0.1631
cabeça;feminino;0.4503
café;feminino;0.3602
carne;feminino;0.5052
casa;feminino;-0.4554
casca;feminino;-0.249
cheiro;feminino;0.6355
comer;feminino;-0.7436
começar;feminino;1.7715
comida;feminino;-0.7804
comprar;feminino;-1.6053
conhecimento;feminino;-1.5795
conseguir;feminino;0.6793
consulta;feminino;-0.3344
contar;feminino;0.6307
continuar;feminino;0.3815
conversar;feminino;0.4503
corpo;feminino;-1.3468
correr;feminino;0.3227
correto;feminino;0.5405
cortar;feminino;0.213
cozinhar;feminino;-0.1902
cru;feminino;-0.249
cuidado;feminino;0.3602
câncer;feminino;-0.2985
danone;feminino;0.18
dentro;feminino;-1.6487
depender;feminino;-0.1902
descobrir;feminino;-0.1902
desconto;feminino;-1.4563
deus;feminino;-0.7011
diagnóstico;feminino;0.2701
diarreia;feminino;0.3602
dieta;feminino;0.5405
diferente;feminino;0.3036
dificuldade;feminino;-1.7283
digestão;feminino;0.2701
