form;part;score;sign;observed;expected
gastrostomia;0;5.64;-;0;8.871
parecer;0;3.167;-;0;4.99
besteira;0;2.777;+;17;10.534
dificuldade;0;2.76;+;44;32.711
dúvida;0;2.567;+;10;5.544
sentir;0;2.564;+;16;9.98
diminuir;0;2.388;-;1;5.544
dor;0;2.109;-;0;3.327
ganhar;0;2.109;-;0;3.327
uso;0;2.078;-;1;4.99
via;0;2.078;-;1;4.99
gastrostomia;1;5.64;+;16;7.129
parecer;1;3.167;+;9;4.01
besteira;1;2.777;-;2;8.466
dificuldade;1;2.76;-;15;26.289
dúvida;1;2.567;-;0;4.456
sentir;1;2.564;-;2;8.02
diminuir;1;2.388;+;9;4.456
dor;1;2.109;+;6;2.673
ganhar;1;2.109;+;6;2.673
uso;1;2.078;+;8;4.01
via;1;2.078;+;8;4.01
