forma;parte;score
acabar;0;-0.4494
aceitar;0;-1.3379
acompanhar;0;0.1993
acostumar;0;0.2356
acreditar;0;-0.2281
adaptar;0;-1.0538
adiantar;0;0.7726
adolescente;0;-0.1595
adorar;0;-0.6059
agradecer;0;1.0254
ajudar;0;-0.5264
alimentação;0;0.7956
alteração;0;0.7688
alto;0;-0.1595
ambiente;0;-0.3781
amendoim;0;0.7688
apetite;0;-0.2901
aprender;0;0.1993
apresentar;0;-1.0538
arroz;0;-0.9773
arrumar;0;0.2356
atrapalhar;0;0.4
autismo;0;0.7688
azedo;0;-0.3511
açúcar;0;-1.4725
bastante;0;0.6825
bater;0;-0.7701
beber;0;-0.2514
bem;0;-0.3469
benefício;0;0.7688
besteira;0;2.7765
boca;0;0.3571
bola;0;-0.7023
bolo;0;0.5124
bonito;0;-0.3781
botar;0;0.2356
braço;0;-1.0538
brigar;0;0.2356
básico;0;0.7726
cabeça;0;-0.8975
café;0;-0.2205
carne;0;-0.9773
casa;0;1.0441
casca;0;-0.6281
cheiro;0;0.2521
comer;0;0.7663
começar;0;-0.4633
comida;0;0.6859
comprar;0;1.6089
conhecimento;0;0.4883
conseguir;0;-0.6843
consulta;0;-0.3781
contar;0;-0.8329
continuar;0;-0.5988
conversar;0;0.5806
corpo;0;1.1801
correr;0;-0.7995
correto;0;0.3464
cortar;0;0.4883
cozinhar;0;-0.3994
cru;0;-0.2205
cuidado;0;-0.2205
câncer;0;1.1744
danone;0;0.5124
dentro;0;0.4
depender;0;-0.8975
descobrir;0;-0.3994
desconto;0;0.5124
deus;0;0.5193
diagnóstico;0;0.2356
diarreia;0;-0.2205
dieta;0;0.3464
diferente;0;0.2521
dificuldade;0;2.7596
digestão;0;-1.0538
diminuir;0;-2.388
direto;0;-0.26
doce;0;0.3103
dor;0;-2.1093
dormir;0;-0.6281
doutor;0;0.8098
dúvida;0;2.5671
emagrecer;0;-0.3781
engasgava;0;0.2562
engolir;0;0.4883
engordar;0;0.4301
enjoar;0;1.3452
entender;0;1.0441
entrar;0;0.2209
errado;0;-0.3781
específico;0;0.7688
esperar;0;-0.3994
essencial;0;0.2209
estômago;0;-0.26
evitar;0;0.7688
exame;0;0.5806
exemplo;0;0.4301
experiência;0;-0.26
explicar;0;0.3887
falado;0;-0.3781
falta;0;0.4
fase;0;0.3464
feijão;0;-0.8329
final;0;-0.3781
forma;0;1.0254
forte;0;-1.7573
forçar;0;-0.7645
fraco;0;-0.1595
frango;0;-0.8975
frente;0;-0.3781
fruta;0;-1.3029
funcionar;0;0.2092
furado;0;-0.3511
fácil;0;-0.5991
ganhar;0;-2.1093
garrafa;0;-0.4342
gastrostomia;0;-5.6402
geral;0;-0.3994
gostar;0;0.4483
gosto;0;-0.4342
graça;0;0.2521
grosso;0;-1.0538
higiene;0;0.6247
hipoclorito;0;0.9823
horrível;0;0.2356
hospital;0;0.3571
importante;0;-0.2901
imunidade;0;0.6431
incomodar;0;0.5605
independente;0;-0.6281
infecção;0;0.7688
interessante;0;-0.3994
internar;0;0.7937
intestino;0;-0.3368
introdução;0;0.2356
inventar;0;-0.3781
invocar;0;0.5124
início;0;-0.3368
japonês;0;0.7688
lado;0;-0.2205
legume;0;1.1977
leite;0;-0.7621
lembrar;0;-0.3994
levar;0;0.4
lidar;0;0.7688
líquido;0;-1.4055
macarrão;0;-0.6059
machucar;0;-0.26
magro;0;-0.3994
maior;0;-0.3151
mal;0;0.2386
mandar;0;0.5806
manhã;0;0.4
manter;0;0.2521
mato;0;-1.0538
medida;0;-0.3781
medo;0;-0.2439
melhorar;0;-1.4725
menos;0;-0.7621
metade;0;-0.3511
metotrexato;0;0.2092
molho;0;0.7688
momento;0;-0.3994
monte;0;0.2356
moído;0;-1.0538
mudar;0;-1.1167
mundo;0;-1.1801
mão;0;0.2356
nariz;0;-0.2205
necessidade;0;0.5016
noite;0;-0.3994
notar;0;-0.6281
nunca;0;0.2269
nutricionista;0;0.2874
nutrir;0;0.2356
náusea;0;1.8876
observar;0;-0.6069
oferecer;0;0.2092
ontem;0;0.3122
oral;0;-1.33
ovo;0;1.0254
paladar;0;0.4883
parar;0;-0.7807
parecer;0;-3.1666
passar;0;-0.3861
pedaço;0;0.5124
pedir;0;0.8084
pensar;0;0.4301
pequeno;0;0.973
perceber;0;0.2092
perder;0;-0.7697
perguntar;0;1.0254
permanecer;0;-0.1595
período;0;-0.2205
peso;0;-1.1765
pesquisar;0;1.3923
pessoa;0;-0.3994
pior;0;0.2356
praticamente;0;0.7688
preciso;0;-0.3781
preferir;0;-0.1595
preso;0;-0.6019
problema;0;-0.2514
procedimento;0;0.2356
processo;0;0.7688
proibir;0;0.7688
puro;0;0.2356
pó;0;-0.7995
pôr;0;-0.5991
qualidade;0;0.2356
quantidade;0;0.4883
queijo;0;-0.1595
querer;0;-0.2912
questão;0;0.2772
quimioterapia;0;1.26
receio;0;0.3464
recurso;0;0.2356
relacionar;0;0.2092
relutante;0;-0.7023
remédio;0;-1.1945
resolver;0;-0.2205
respirar;0;-0.7023
ressecar;0;-0.2205
restrição;0;-1.0538
resultado;0;-0.3781
rim;0;0.7688
ritmo;0;0.7688
ruim;0;-0.5991
rápido;0;-0.8329
sabor;0;-1.4725
sabão;0;0.3464
sair;0;-0.3562
salgado;0;-0.4177
salvar;0;0.4
salvação;0;0.5124
saudável;0;0.7726
seguro;0;0.2356
seletivo;0;0.5806
semana;0;-0.374
sensível;0;-0.6281
sentar;0;0.4301
sentir;0;2.5635
sofrer;0;0.3464
soltar;0;-0.26
sonda;0;0.3417
suco;0;0.4883
suplemento;0;0.4264
suprir;0;1.0254
tempero;0;1.282
tomar;0;0.402
tranquilo;0;0.4301
tratamento;0;0.4209
trocar;0;-0.3781
uso;0;-2.0777
uti;0;0.3464
vender;0;0.5806
verdura;0;0.6259
verduras;0;1.5388
via;0;-2.0777
vida;0;-0.2901
vitamina;0;-0.8975
voltar;0;0.2772
vomitar;0;-0.6843
vontade;0;-0.26
ácido;0;-1.0538
água;0;0.2404
ótimo;0;-0.6281
acabar;1;0.4494
aceitar;1;1.3379
acompanhar;1;-0.1993
acostumar;1;-0.2356
acreditar;1;0.2281
adaptar;1;1.0538
adiantar;1;-0.7726
adolescente;1;0.1595
adorar;1;0.6059
agradecer;1;-1.0254
ajudar;1;0.5264
alimentação;1;-0.7956
alteração;1;-0.7688
alto;1;0.1595
ambiente;1;0.3781
amendoim;1;-0.7688
apetite;1;0.2901
aprender;1;-0.1993
apresentar;1;1.0538
arroz;1;0.9773
arrumar;1;-0.2356
atrapalhar;1;-0.4
autismo;1;-0.7688
azedo;1;0.3511
açúcar;1;1.4725
bastante;1;-0.6825
bater;1;0.7701
beber;1;0.2514
bem;1;0.3469
benefício;1;-0.7688
besteira;1;-2.7765
boca;1;-0.3571
bola;1;0.7023
bolo;1;-0.5124
bonito;1;0.3781
botar;1;-0.2356
braço;1;1.0538
brigar;1;-0.2356
básico;1;-0.7726
cabeça;1;0.8975
café;1;0.2205
carne;1;0.9773
casa;1;-1.0441
casca;1;0.6281
cheiro;1;-0.2521
comer;1;-0.7663
começar;1;0.4633
comida;1;-0.6859
comprar;1;-1.6089
conhecimento;1;-0.4883
conseguir;1;0.6843
consulta;1;0.3781
contar;1;0.8329
continuar;1;0.5988
conversar;1;-0.5806
corpo;1;-1.1801
correr;1;0.7995
correto;1;-0.3464
cortar;1;-0.4883
cozinhar;1;0.3994
cru;1;0.2205
cuidado;1;0.2205
câncer;1;-1.1744
danone;1;-0.5124
dentro;1;-0.4
depender;1;0.8975
descobrir;1;0.3994
desconto;1;-0.5124
deus;1;-0.5193
diagnóstico;1;-0.2356
diarreia;1;0.2205
dieta;1;-0.3464
diferente;1;-0.2521
dificuldade;1;-2.7596
digestão;1;1.0538
diminuir;1;2.388
direto;1;0.26
doce;1;-0.3103
dor;1;2.1093
dormir;1;0.6281
doutor;1;-0.8098
dúvida;1;-2.5671
emagrecer;1;0.3781
engasgava;1;-0.2562
engolir;1;-0.4883
engordar;1;-0.4301
enjoar;1;-1.3452
entender;1;-1.0441
entrar;1;-0.2209
errado;1;0.3781
específico;1;-0.7688
esperar;1;0.3994
essencial;1;-0.2209
estômago;1;0.26
evitar;1;-0.7688
exame;1;-0.5806
exemplo;1;-0.4301
experiência;1;0.26
explicar;1;-0.3887
falado;1;0.3781
falta;1;-0.4
fase;1;-0.3464
feijão;1;0.8329
final;1;0.3781
forma;1;-1.0254
forte;1;1.7573
forçar;1;0.7645
fraco;1;0.1595
frango;1;0.8975
frente;1;0.3781
fruta;1;1.3029
funcionar;1;-0.2092
furado;1;0.3511
fácil;1;0.5991
ganhar;1;2.1093
garrafa;1;0.4342
gastrostomia;1;5.6402
geral;1;0.3994
gostar;1;-0.4483
gosto;1;0.4342
graça;1;-0.2521
grosso;1;1.0538
higiene;1;-0.6247
hipoclorito;1;-0.9823
horrível;1;-0.2356
hospital;1;-0.3571
importante;1;0.2901
imunidade;1;-0.6431
incomodar;1;-0.5605
independente;1;0.6281
infecção;1;-0.7688
interessante;1;0.3994
internar;1;-0.7937
intestino;1;0.3368
introdução;1;-0.2356
inventar;1;0.3781
invocar;1;-0.5124
início;1;0.3368
japonês;1;-0.7688
lado;1;0.2205
legume;1;-1.1977
leite;1;0.7621
lembrar;1;0.3994
levar;1;-0.4
lidar;1;-0.7688
líquido;1;1.4055
macarrão;1;0.6059
machucar;1;0.26
magro;1;0.3994
maior;1;0.3151
mal;1;-0.2386
mandar;1;-0.5806
manhã;1;-0.4
manter;1;-0.2521
mato;1;1.0538
medida;1;0.3781
medo;1;0.2439
melhorar;1;1.4725
menos;1;0.7621
metade;1;0.3511
metotrexato;1;-0.2092
molho;1;-0.7688
momento;1;0.3994
monte;1;-0.2356
moído;1;1.0538
mudar;1;1.1167
mundo;1;1.1801
mão;1;-0.2356
nariz;1;0.2205
necessidade;1;-0.5016
noite;1;0.3994
notar;1;0.6281
nunca;1;-0.2269
nutricionista;1;-0.2874
nutrir;1;-0.2356
náusea;1;-1.8876
observar;1;0.6069
oferecer;1;-0.2092
ontem;1;-0.3122
oral;1;1.33
ovo;1;-1.0254
paladar;1;-0.4883
parar;1;0.7807
parecer;1;3.1666
passar;1;0.3861
pedaço;1;-0.5124
pedir;1;-0.8084
pensar;1;-0.4301
pequeno;1;-0.973
perceber;1;-0.2092
perder;1;0.7697
perguntar;1;-1.0254
permanecer;1;0.1595
período;1;0.2205
peso;1;1.1765
pesquisar;1;-1.3923
pessoa;1;0.3994
pior;1;-0.2356
praticamente;1;-0.7688
preciso;1;0.3781
preferir;1;0.1595
preso;1;0.6019
problema;1;0.2514
procedimento;1;-0.2356
processo;1;-0.7688
proibir;1;-0.7688
puro;1;-0.2356
pó;1;0.7995
pôr;1;0.5991
qualidade;1;-0.2356
quantidade;1;-0.4883
queijo;1;0.1595
querer;1;0.2912
questão;1;-0.2772
quimioterapia;1;-1.26
receio;1;-0.3464
recurso;1;-0.2356
relacionar;1;-0.2092
relutante;1;0.7023
remédio;1;1.1945
resolver;1;0.2205
respirar;1;0.7023
ressecar;1;0.2205
restrição;1;1.0538
resultado;1;0.3781
rim;1;-0.7688
ritmo;1;-0.7688
ruim;1;0.5991
rápido;1;0.8329
sabor;1;1.4725
sabão;1;-0.3464
sair;1;0.3562
salgado;1;0.4177
salvar;1;-0.4
salvação;1;-0.5124
saudável;1;-0.7726
seguro;1;-0.2356
seletivo;1;-0.5806
semana;1;0.374
sensível;1;0.6281
sentar;1;-0.4301
sentir;1;-2.5635
sofrer;1;-0.3464
soltar;1;0.26
sonda;1;-0.3417
suco;1;-0.4883
suplemento;1;-0.4264
suprir;1;-1.0254
tempero;1;-1.282
tomar;1;-0.402
tranquilo;1;-0.4301
tratamento;1;-0.4209
trocar;1;0.3781
uso;1;2.0777
uti;1;-0.3464
vender;1;-0.5806
verdura;1;-0.6259
verduras;1;-1.5388
via;1;2.0777
vida;1;0.2901
vitamina;1;0.8975
voltar;1;-0.2772
vomitar;1;0.6843
vontade;1;0.26
ácido;1;1.0538
água;1;-0.2404
ótimo;1;0.6281
