form;part;score;sign;observed;expected
diminuir;0-3 meses;2.693;+;10;5.386
alimentação;0-3 meses;2.609;-;11;19.929
gastrostomia;4-6 meses;2.76;-;0;5.23
alimentação;4-6 meses;2.687;+;21;12.095
corpo;4-6 meses;2.648;+;7;2.615
sentir;4-6 meses;2.499;+;12;5.884
tempero;4-6 meses;2.431;+;5;1.634
dificuldade;4-6 meses;2.232;+;29;19.287
pedir;4-6 meses;2.139;+;7;2.942
pesquisar;4-6 meses;2.139;+;7;2.942
pôr;7-12 meses;2.771;+;5;1.076
moído;7-12 meses;2.617;+;3;0.403
ácido;7-12 meses;2.617;+;3;0.403
uso;7-12 meses;2.469;+;5;1.21
sabor;7-12 meses;2.093;+;4;0.941
salgado;7-12 meses;2.093;+;4;0.941
