forma;parte;score
acabar;0-3 meses;1.2528
aceitar;0-3 meses;1.6861
acompanhar;0-3 meses;0.2259
acostumar;0-3 meses;0.2535
acreditar;0-3 meses;1.9425
adaptar;0-3 meses;0.2535
adiantar;0-3 meses;-0.5619
adolescente;0-3 meses;-0.1488
adorar;0-3 meses;-0.2355
agradecer;0-3 meses;1.0756
ajudar;0-3 meses;1.3982
alimentação;0-3 meses;-2.6091
alteração;0-3 meses;0.8065
alto;0-3 meses;-0.6721
ambiente;0-3 meses;0.2535
amendoim;0-3 meses;-1.0084
apetite;0-3 meses;1.2566
aprender;0-3 meses;0.4747
apresentar;0-3 meses;-0.3544
arroz;0-3 meses;0.3057
arrumar;0-3 meses;-0.3544
atrapalhar;0-3 meses;0.4289
autismo;0-3 meses;-1.0084
azedo;0-3 meses;0.2687
açúcar;0-3 meses;-0.381
bastante;0-3 meses;0.7738
bater;0-3 meses;-0.2175
beber;0-3 meses;-1.0898
bem;0-3 meses;1.4266
benefício;0-3 meses;-1.0084
besteira;0-3 meses;-1.3759
boca;0-3 meses;1.0995
bola;0-3 meses;0.5376
bolo;0-3 meses;-0.6721
bonito;0-3 meses;0.2535
botar;0-3 meses;-1.0084
braço;0-3 meses;0.8065
brigar;0-3 meses;0.8065
básico;0-3 meses;-0.2355
cabeça;0-3 meses;1.3449
café;0-3 meses;0.4289
carne;0-3 meses;0.5583
casa;0-3 meses;-0.5434
casca;0-3 meses;-0.2023
cheiro;0-3 meses;-0.3111
comer;0-3 meses;0.6906
começar;0-3 meses;-0.3619
comida;0-3 meses;-1.1216
comprar;0-3 meses;-0.2797
conhecimento;0-3 meses;-0.381
conseguir;0-3 meses;-0.2807
consulta;0-3 meses;-0.3544
contar;0-3 meses;1.0374
continuar;0-3 meses;0.616
conversar;0-3 meses;-0.3687
corpo;0-3 meses;-1.676
correr;0-3 meses;0.4747
correto;0-3 meses;0.3782
cortar;0-3 meses;-0.775
cozinhar;0-3 meses;0.6211
cru;0-3 meses;0.4289
cuidado;0-3 meses;1.0756
câncer;0-3 meses;-0.3111
danone;0-3 meses;0.5376
dentro;0-3 meses;-0.5905
depender;0-3 meses;0.2425
descobrir;0-3 meses;0.6211
desconto;0-3 meses;-0.6721
deus;0-3 meses;0.5885
diagnóstico;0-3 meses;-0.3544
diarreia;0-3 meses;1.0756
dieta;0-3 meses;0.8249
diferente;0-3 meses;0.5145
dificuldade;0-3 meses;-1.5609
digestão;0-3 meses;0.8065
diminuir;0-3 meses;2.693
direto;0-3 meses;0.8249
doce;0-3 meses;0.3721
dor;0-3 meses;0.3782
dormir;0-3 meses;0.4289
doutor;0-3 meses;-0.6793
dúvida;0-3 meses;1.71
emagrecer;0-3 meses;0.8065
engasgava;0-3 meses;-0.3359
engolir;0-3 meses;0.531
engordar;0-3 meses;-0.3919
enjoar;0-3 meses;-1.5098
entender;0-3 meses;-1.7325
entrar;0-3 meses;-0.3687
errado;0-3 meses;-0.3544
específico;0-3 meses;-0.3544
esperar;0-3 meses;0.2425
essencial;0-3 meses;0.2425
estômago;0-3 meses;0.3782
evitar;0-3 meses;-1.0084
exame;0-3 meses;0.6211
exemplo;0-3 meses;0.4747
experiência;0-3 meses;0.8249
explicar;0-3 meses;-0.402
falado;0-3 meses;-0.3544
falta;0-3 meses;-0.5905
fase;0-3 meses;0.3782
feijão;0-3 meses;0.2335
final;0-3 meses;0.2535
forma;0-3 meses;-0.2023
forte;0-3 meses;0.6211
forçar;0-3 meses;-0.6863
fraco;0-3 meses;-0.1488
frango;0-3 meses;0.2425
frente;0-3 meses;0.2535
fruta;0-3 meses;-0.6865
funcionar;0-3 meses;0.2335
furado;0-3 meses;0.2687
fácil;0-3 meses;1.2566
ganhar;0-3 meses;0.8249
garrafa;0-3 meses;0.2259
gastrostomia;0-3 meses;0.4797
geral;0-3 meses;0.6211
gostar;0-3 meses;-0.3462
gosto;0-3 meses;-0.7361
graça;0-3 meses;0.5145
grosso;0-3 meses;0.2535
higiene;0-3 meses;-0.2175
hipoclorito;0-3 meses;0.3235
horrível;0-3 meses;-1.0084
hospital;0-3 meses;-0.4113
importante;0-3 meses;0.6972
imunidade;0-3 meses;-0.26
incomodar;0-3 meses;-0.5437
independente;0-3 meses;1.0756
infecção;0-3 meses;-0.3544
interessante;0-3 meses;0.2425
internar;0-3 meses;-0.3581
intestino;0-3 meses;0.9298
introdução;0-3 meses;0.8065
inventar;0-3 meses;-0.3544
invocar;0-3 meses;-0.6721
início;0-3 meses;-0.2964
japonês;0-3 meses;-1.0084
lado;0-3 meses;-0.2023
legume;0-3 meses;0.9006
leite;0-3 meses;0.9006
lembrar;0-3 meses;-0.8455
levar;0-3 meses;-0.5905
lidar;0-3 meses;-0.3544
líquido;0-3 meses;0.4289
macarrão;0-3 meses;0.3782
machucar;0-3 meses;0.8249
magro;0-3 meses;0.6211
maior;0-3 meses;-0.2797
mal;0-3 meses;-0.5434
mandar;0-3 meses;0.2425
manhã;0-3 meses;-0.2023
manter;0-3 meses;-0.3111
mato;0-3 meses;0.2535
medida;0-3 meses;0.2535
medo;0-3 meses;1.3531
melhorar;0-3 meses;0.531
menos;0-3 meses;0.3603
metade;0-3 meses;-0.3359
metotrexato;0-3 meses;-1.3911
molho;0-3 meses;-0.3544
momento;0-3 meses;-0.3687
monte;0-3 meses;-1.0084
moído;0-3 meses;-1.0084
mudar;0-3 meses;0.3603
mundo;0-3 meses;0.8249
mão;0-3 meses;-0.3544
nariz;0-3 meses;-0.2023
necessidade;0-3 meses;-0.2964
noite;0-3 meses;0.6211
notar;0-3 meses;0.4289
nunca;0-3 meses;1.045
nutricionista;0-3 meses;0.3235
nutrir;0-3 meses;0.8065
náusea;0-3 meses;-0.8269
observar;0-3 meses;-0.5419
oferecer;0-3 meses;-0.381
ontem;0-3 meses;-0.26
oral;0-3 meses;0.4747
ovo;0-3 meses;-0.5905
paladar;0-3 meses;1.8838
parar;0-3 meses;-0.402
parecer;0-3 meses;0.4747
passar;0-3 meses;-0.6995
pedaço;0-3 meses;-0.6721
pedir;0-3 meses;-1.2434
pensar;0-3 meses;-0.3919
pequeno;0-3 meses;0.531
perceber;0-3 meses;-0.381
perder;0-3 meses;1.3
perguntar;0-3 meses;-0.2023
permanecer;0-3 meses;0.5376
período;0-3 meses;-0.5905
peso;0-3 meses;1.384
pesquisar;0-3 meses;-1.2434
pessoa;0-3 meses;-0.3687
pior;0-3 meses;-0.3544
praticamente;0-3 meses;0.2535
preciso;0-3 meses;0.2535
preferir;0-3 meses;-0.1488
preso;0-3 meses;1.4521
problema;0-3 meses;-0.6967
procedimento;0-3 meses;-0.3544
processo;0-3 meses;-1.0084
proibir;0-3 meses;-1.0084
puro;0-3 meses;0.2535
pó;0-3 meses;-0.3919
pôr;0-3 meses;-1.676
qualidade;0-3 meses;-0.3544
quantidade;0-3 meses;1.8838
queijo;0-3 meses;-0.6721
querer;0-3 meses;-0.8977
questão;0-3 meses;0.7738
quimioterapia;0-3 meses;0.2816
receio;0-3 meses;0.3782
recurso;0-3 meses;-0.3544
relacionar;0-3 meses;-0.381
relutante;0-3 meses;-0.6721
remédio;0-3 meses;0.3449
resolver;0-3 meses;-0.5905
respirar;0-3 meses;-0.6721
ressecar;0-3 meses;-0.2023
restrição;0-3 meses;0.2535
resultado;0-3 meses;-0.3544
rim;0-3 meses;-1.0084
ritmo;0-3 meses;-1.0084
ruim;0-3 meses;0.6972
rápido;0-3 meses;-0.381
sabor;0-3 meses;-0.381
sabão;0-3 meses;-0.5619
