uce_id;uci_id;grupo;n_participantes;sexo_predominante_responsaveis;sexo_predominante_pacientexs;escolaridade_predominante;regiao_predominante;tumor_predominante;tempo_tto_faixa;desnutricao_grupo;sne_grupo;sne_xp_grupo;n_tokens;n_active;classe_py;classe_r
grupo1__uce0001;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;54;8;2;2
grupo1__uce0002;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;66;13;1;1
grupo1__uce0003;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;68;19;1;1
grupo1__uce0004;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;53;10;2;2
grupo1__uce0005;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;47;12;2;2
grupo1__uce0006;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;56;14;2;2
grupo1__uce0007;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;9;2;2
grupo1__uce0008;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;47;15;2;2
grupo1__uce0009;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;47;14;2;2
grupo1__uce0010;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;43;10;2;2
grupo1__uce0011;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;56;12;2;2
grupo1__uce0012;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;49;18;2;2
grupo1__uce0013;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;11;2;2
grupo1__uce0014;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;49;15;1;1
grupo1__uce0015;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;42;10;1;1
grupo1__uce0016;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;11;1;1
grupo1__uce0017;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;17;2;2
grupo1__uce0018;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;41;12;2;2
grupo1__uce0019;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;60;21;2;2
grupo1__uce0020;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;41;12;2;2
grupo1__uce0021;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;68;12;2;2
grupo1__uce0022;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;5;2;2
grupo1__uce0023;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;63;7;1;1
grupo1__uce0024;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;51;12;1;1
grupo1__uce0025;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;56;9;3;3
grupo1__uce0026;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;14;1;1
grupo1__uce0027;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;8;1;3
grupo1__uce0028;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;9;2;2
grupo1__uce0029;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;11;1;1
grupo1__uce0030;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;47;11;2;2
grupo1__uce0031;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;58;12;2;2
grupo1__uce0032;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;57;16;2;2
grupo1__uce0033;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;16;1;1
grupo1__uce0034;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;47;9;1;1
grupo1__uce0035;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;41;13;1;1
grupo1__uce0036;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;48;12;1;1
grupo1__uce0037;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;45;11;1;1
grupo1__uce0038;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;41;13;1;1
grupo1__uce0039;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;12;1;1
grupo1__uce0040;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;42;11;1;1
grupo1__uce0041;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;52;10;1;1
grupo1__uce0042;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;58;10;1;1
grupo1__uce0043;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;9;1;1
grupo1__uce0044;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;8;1;1
grupo1__uce0045;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;60;17;1;1
grupo1__uce0046;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;42;5;2;2
grupo1__uce0047;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;48;13;1;1
grupo1__uce0048;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;12;1;1
grupo1__uce0049;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;43;13;1;1
grupo1__uce0050;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;45;8;1;3
grupo1__uce0051;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;42;7;1;1
grupo1__uce0052;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;48;11;1;1
grupo1__uce0053;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;51;9;1;3
grupo1__uce0054;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;43;7;1;3
grupo1__uce0055;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;65;15;1;3
grupo1__uce0056;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;42;6;2;2
grupo2__uce0000;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;48;6;1;1
grupo2__uce0001;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;62;8;1;1
grupo2__uce0002;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;55;11;1;1
grupo2__uce0003;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;45;9;1;1
grupo2__uce0004;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;49;11;2;2
grupo2__uce0005;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;51;9;2;2
grupo2__uce0006;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;41;7;1;1
grupo2__uce0007;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;52;13;1;1
grupo2__uce0008;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;46;10;2;2
grupo2__uce0009;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;45;11;1;1
grupo2__uce0010;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;79;19;2;2
grupo2__uce0011;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;42;13;1;1
grupo2__uce0012;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;40;11;2;2
grupo2__uce0013;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;46;10;2;2
grupo2__uce0014;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;61;13;2;2
