ngrama;frequencia
comer comer;27
comer bem;24
tomar suplemento;22
querer comer;19
perder peso;19
graça deus;16
comer querer;13
água hipoclorito;10
conseguir comer;10
tomar tomar;9
passar sonda;9
comer fruta;9
intestino preso;9
começar tratamento;8
tomar remédio;8
fruta comer;8
suplemento tomar;8
querer tomar;8
via oral;8
dificuldade comer;8
fruta fruta;8
água sabão;7
querer querer;7
comer tomar;7
passar mal;7
comer arroz;7
leite leite;7
ajudar bastante;6
náusea vomitar;6
remédio vomitar;6
sonda sonda;6
arroz feijão;6
comer comida;5
legume legume;5
suco fruta;5
tomar água;5
vontade comer;5
comer verdura;5
vomitar vomitar;5
tomar leite;5
voltar comer;5
comer suplemento;5
começar quimioterapia;5
doce doce;5
beber beber;5
quimioterapia quimioterapia;4
alimentação comer;4
hipoclorito água;4
tomar café;4
comer menos;4
começar dificuldade;4
alimentação suplemento;4
engordar peso;4
comer passar;4
passar suplemento;4
começar comer;4
dificuldade alimentação;4
remédio tomar;4
doce comer;4
comer doce;4
querer besteira;4
sonda tomar;4
besteira besteira;4
comida japonês;4
querer comida;4
noite vomitar;4
passar comer;4
suplemento ajudar;4
quimioterapia começar;3
maior dificuldade;3
ontem comer;3
higiene água;3
verdura fruta;3
aceitar bem;3
quimioterapia comer;3
tomar dificuldade;3
sonda suplemento;3
manter comer;3
tomar bem;3
aceitar sonda;3
sonda dificuldade;3
sentir mal;3
acompanhar tratamento;3
comida querer;3
besteira comer;3
comer correr;3
fruta verdura;3
gostar besteira;3
besteira querer;3
remédio dificuldade;3
quimioterapia querer;3
querer fruta;3
fruta querer;3
querer verdura;3
quimioterapia vomitar;3
quimioterapia tomar;3
tomar sonda;3
tomar boca;3
comer saudável;3
enjoar comer;3
dificuldade tomar;3
forçar tomar;3
tomar comer;3
comer legume;3
legume comer;3
legume fruta;3
peso perder;3
comer adiantar;3
bem tranquilo;3
sentir cheiro;3
vomitar comer;3
funcionar funcionar;3
carne querer;3
comer aceitar;3
bem sensível;3
peso ganhar;3
bem comer;3
conseguir tomar;3
ruim comer;3
peso peso;3
suplemento comer;3
manter peso;3
água água;3
comida gostar;3
beber leite;3
beber água;3
aceitar água;3
comer carne;3
verdura legume;3
mato grosso;3
arroz comer;3
parar comer;3
passar gastrostomia;3
feijão carne;3
carne moído;3
menos metade;3
bem relutante;3
tratamento câncer;2
alimentação proteger;2
alimentação casa;2
alimentação geral;2
manter alimentação;2
cortar bastante;2
tomar besteira;2
querer entrar;2
qualidade vida;2
falta apetite;2
câncer higiene;2
bater fruta;2
soltar ajudar;2
fruta aceitar;2
dificuldade dificuldade;2
bem aceitar;2
comer tempero;2
tempero tempero;2
aceitar comer;2
internar comer;2
comida bem;2
gostar garrafa;2
tomar whey;2
tomar medo;2
tratamento acabar;2
bastante ajudar;2
suplemento menos;2
suplemento medida;2
garrafa tomar;2
conseguir pó;2
tomar sentar;2
tomar manhã;2
sonda começar;2
essencial tomar;2
suplemento magro;2
suplemento engordar;2
pedir cirurgião;2
sonda comer;2
sonda ajudar;2
bastante passar;2
suplemento sentir;2
comer sonda;2
sonda entender;2
tratamento acompanhar;2
acompanhar acompanhar;2
início tratamento;2
observar bem;2
náusea remédio;2
gostar doce;2
doce salgado;2
náusea dificuldade;2
invocar comida;2
tomar enjoar;2
internar dificuldade;2
dificuldade graça;2
dificuldade sonda;2
comer besteira;2
gostar básico;2
pensar comer;2
início quimioterapia;2
náusea náusea;2
bem querer;2
higiene bem;2
