ngrama;frequencia
comer comer comer;5
água hipoclorito água;4
querer comer querer;4
tomar suplemento tomar;3
tomar remédio dificuldade;3
querer fruta querer;3
fruta fruta fruta;3
comer arroz comer;3
arroz feijão carne;3
comer menos metade;3
higiene água hipoclorito;2
hipoclorito água hipoclorito;2
tomar suplemento engordar;2
suplemento engordar peso;2
comer passar sonda;2
tomar suplemento sentir;2
doce comer doce;2
dificuldade graça deus;2
comer verdura fruta;2
comer comer querer;2
quimioterapia querer comer;2
fruta querer verdura;2
comer querer comer;2
vomitar perder peso;2
perder peso vomitar;2
pesquisar perguntar doutor;2
comer querer querer;2
dificuldade alimentação suplemento;2
dificuldade comer bem;2
comer bem fruta;2
fruta comer bem;2
perder perder peso;2
perder peso perder;2
querer comer passar;2
suplemento tomar suplemento;2
comer pedaço comer;2
remédio vomitar vomitar;2
comer comer bem;2
conseguir comer bem;2
perder peso ganhar;2
graça deus dificuldade;2
comer tomar suplemento;2
início medo sair;2
comer bem continuar;2
comer bem comer;2
bem comer bem;2
gostar beber água;2
tomar suplemento ajudar;2
sonda tomar suplemento;2
tomar suplemento sonda;2
perder bastante peso;2
mato grosso sul;2
vomitar graça deus;2
tomar remédio vomitar;2
via oral gastrostomia;2
ganhar cm macarrão;2
via oral aceitar;2
droga diferente família;2
básico arroz feijão;2
feijão carne moído;2
perder peso rápido;2
beber beber beber;2
diagnosticar osteossarcoma pulmão;1
osteossarcoma pulmão passar;1
pulmão passar casa;1
passar casa retornar;1
casa retornar quimioterapia;1
retornar quimioterapia quimioterapia;1
quimioterapia começar maior;1
começar maior dificuldade;1
maior dificuldade amplo;1
dificuldade amplo alimentação;1
amplo alimentação tratamento;1
alimentação tratamento câncer;1
tratamento câncer preciso;1
câncer preciso alimentação;1
preciso alimentação amputar;1
alimentação amputar rim;1
amputar rim rim;1
nutricionista nutricionista arrumar;1
nutricionista arrumar alimentação;1
arrumar alimentação pesquisar;1
alimentação pesquisar alimentação;1
pesquisar alimentação proteger;1
alimentação proteger rim;1
proteger rim deparecer;1
rim deparecer transplante;1
deparecer transplante rim;1
transplante rim saudável;1
rim saudável falado;1
saudável falado estudante;1
falado estudante passar;1
estudante passar tratamento;1
passar tratamento câncer;1
tratamento câncer pesado;1
câncer pesado navegar;1
passar alimentação passar;1
alimentação passar ontem;1
passar ontem comer;1
ontem comer separar;1
comer separar alimentação;1
separar alimentação alimentação;1
alimentação alimentação botar;1
alimentação botar diferente;1
alimentação casa brasileiro;1
casa brasileiro ritmo;1
brasileiro ritmo sair;1
ritmo sair seletivo;1
sair seletivo restrito;1
seletivo restrito alimentação;1
restrito alimentação seco;1
alimentação seco talvez;1
seco talvez menos;1
talvez menos nutriente;1
preocupar alimentação geral;1
alimentação geral alimentação;1
geral alimentação comer;1
alimentação comer alimentação;1
comer alimentação casa;1
alimentação casa manter;1
casa manter alimentação;1
manter alimentação cortar;1
alimentação cortar bastante;1
cortar bastante besteira;1
bastante besteira cortar;1
besteira cortar mal;1
tomar besteira gostar;1
besteira gostar lanche;1
gostar lanche gostar;1
lanche gostar começar;1
gostar começar cortar;1
começar cortar final;1
cortar final semana;1
pedir lanche basicamente;1
lanche basicamente forma;1
basicamente forma antigamente;1
forma antigamente começar;1
antigamente começar tratamento;1
começar tratamento diminuído;1
tratamento diminuído querer;1
diminuído querer entrar;1
querer entrar cortar;1
entrar cortar cortar;1
cortar cortar besteira;1
cortar besteira bolacha;1
besteira bolacha industrializado;1
querer entrar querer;1
entrar querer alimentação;1
querer alimentação proteger;1
alimentação proteger dificuldade;1
proteger dificuldade exemplo;1
dificuldade exemplo câncer;1
exemplo câncer leucemia;1
câncer leucemia comida;1
leucemia comida benefício;1
comida benefício cortar;1
benefício cortar básico;1
cortar básico básico;1
alimentação nutriente benefício;1
nutriente benefício qualidade;1
benefício qualidade vida;1
qualidade vida intenso;1
vida intenso sair;1
intenso sair alimentação;1
sair alimentação explicar;1
alimentação explicar comer;1
restringir longo processo;1
longo processo aprender;1
processo aprender manejar;1
aprender manejar falta;1
manejar falta apetite;1
falta apetite problema;1
apetite problema sentido;1
problema sentido comer;1
sentido comer bem;1
comer bem quimioterapia;1
higiene correto higiene;1
correto higiene água;1
hipoclorito água sabão;1
água sabão servir;1
sabão servir verduras;1
servir verduras verdura;1
verduras verdura fruta;1
verdura fruta molho;1
fruta molho solução;1
molho solução higienizar;1
solução higienizar embalagem;1
higienizar embalagem rotina;1
câncer higiene mão;1
higiene mão água;1
mão água sabão;1
água sabão higienizo;1
sabão higienizo bater;1
higienizo bater fruta;1
bater fruta hipoclorito;1
fruta hipoclorito solução;1
hipoclorito solução medo;1
quimioterapia começar tratamento;1
começar tratamento horrível;1
tratamento horrível tomar;1
