forme;frequencia;n_uce
acabar;13;11
aceitar;42;33
acompanhar;15;9
acostumar;3;3
acreditar;11;11
adaptar;4;3
adiantar;7;6
adolescente;3;2
adorar;6;6
agradecer;5;4
ajudar;34;23
alimentação;48;37
alteração;3;3
alto;3;2
ambiente;3;3
amendoim;5;3
apetite;9;8
aprender;9;9
apresentar;3;3
arroz;16;12
arrumar;3;3
atrapalhar;4;4
autismo;4;3
azedo;3;1
açúcar;11;7
bastante;25;21
bater;19;13
beber;25;13
bem;74;54
benefício;3;3
besteira;27;19
boca;15;13
bola;4;2
bolo;3;2
bonito;3;3
botar;3;3
braço;4;3
brigar;3;3
básico;7;6
cabeça;5;5
café;4;4
carne;17;12
casa;18;16
casca;4;4
cheiro;15;14
comer;265;146
começar;62;54
comida;49;43
comprar;13;10
conhecimento;7;7
conseguir;37;34
consulta;3;3
contar;7;7
continuar;10;10
conversar;6;5
corpo;8;8
correr;9;9
correto;9;6
cortar;9;7
cozinhar;6;5
cru;7;4
cuidado;4;4
câncer;18;14
danone;3;2
dentro;4;4
depender;5;5
descobrir;5;5
desconto;3;2
deus;19;17
diagnóstico;5;3
diarreia;4;4
dieta;7;6
diferente;17;14
dificuldade;70;59
digestão;4;3
diminuir;10;10
direto;6;6
doce;42;26
dor;7;6
dormir;6;4
doutor;20;17
dúvida;12;10
emagrecer;3;3
engasgava;3;1
engolir;7;7
engordar;9;9
enjoar;15;15
entender;16;16
entrar;6;5
errado;3;3
específico;3;3
esperar;5;5
essencial;5;5
estômago;6;6
evitar;4;3
exame;7;5
exemplo;10;9
experiência;6;6
explicar;13;11
falado;3;3
falta;4;4
fase;6;6
feijão;9;7
final;4;3
forma;4;4
forte;5;5
forçar;16;15
fraco;3;2
frango;6;5
frente;3;3
fruta;64;43
funcionar;10;7
furado;3;1
fácil;10;8
ganhar;8;6
garrafa;12;9
gastrostomia;21;16
geral;5;5
gostar;42;35
gosto;9;9
graça;16;14
grosso;3;3
higiene;15;13
hipoclorito;17;10
horrível;3;3
hospital;14;13
importante;9;8
imunidade;8;8
incomodar;11;10
independente;4;4
infecção;3;3
interessante;5;5
internar;22;22
intestino;14;12
introdução;3;3
inventar;3;3
invocar;3;2
início;12;12
japonês;4;3
lado;4;4
legume;24;17
leite;33;17
lembrar;5;5
levar;4;4
lidar;3;3
líquido;6;4
macarrão;9;6
machucar;6;6
magro;5;5
maior;10;10
mal;19;16
mandar;5;5
manhã;4;4
manter;17;14
mato;3;3
medida;3;3
medo;27;20
melhorar;7;7
menos;21;17
metade;3;1
metotrexato;8;7
molho;3;3
momento;5;5
monte;3;3
moído;4;3
mudar;23;17
mundo;6;6
mão;4;3
nariz;4;4
necessidade;14;12
noite;7;5
notar;4;4
nunca;20;18
nutricionista;11;10
nutrir;3;3
náusea;22;18
observar;14;14
oferecer;9;7
ontem;9;8
oral;9;9
ovo;8;4
paladar;7;7
parar;11;11
parecer;10;9
passar;59;51
pedaço;3;2
pedir;9;9
pensar;10;9
pequeno;7;7
perceber;7;7
perder;29;25
perguntar;4;4
permanecer;3;2
período;4;4
peso;51;36
pesquisar;10;9
pessoa;6;5
pior;4;3
praticamente;3;3
preciso;3;3
preferir;3;2
preso;13;12
problema;15;13
procedimento;3;3
processo;3;3
proibir;4;3
puro;3;3
pó;11;9
pôr;8;8
qualidade;3;3
quantidade;9;7
queijo;3;2
querer;104;71
questão;21;21
quimioterapia;70;57
receio;6;6
recurso;3;3
relacionar;7;7
relutante;3;2
remédio;40;30
resolver;6;4
respirar;3;2
ressecar;6;4
restrição;3;3
resultado;3;3
rim;5;3
ritmo;3;3
ruim;10;8
rápido;8;7
sabor;8;7
sabão;7;6
sair;15;14
salgado;11;7
salvar;5;4
salvação;3;2
saudável;6;6
seguro;3;3
seletivo;6;5
semana;17;16
sensível;5;4
sentar;9;9
sentir;18;18
sofrer;7;6
soltar;8;6
sonda;85;65
suco;8;7
suplemento;75;60
suprir;4;4
tempero;11;5
tomar;144;96
tranquilo;10;9
tratamento;26;23
trocar;3;3
uso;9;9
uti;7;6
vender;5;5
verdura;19;18
verduras;6;6
via;9;9
vida;9;8
vitamina;5;5
voltar;24;21
vomitar;56;34
vontade;7;6
ácido;3;3
água;51;27
ótimo;4;4
