doc_id;topico_dominante
grupo1__uce0001;4
grupo1__uce0002;2
grupo1__uce0003;2
grupo1__uce0004;1
grupo1__uce0005;1
grupo1__uce0006;1
grupo1__uce0007;3
grupo1__uce0008;3
grupo1__uce0009;1
grupo1__uce0010;4
grupo1__uce0011;4
grupo1__uce0012;2
grupo1__uce0013;2
grupo1__uce0014;1
grupo1__uce0015;1
grupo1__uce0016;3
grupo1__uce0017;1
grupo1__uce0018;4
grupo1__uce0019;4
grupo1__uce0020;1
grupo1__uce0021;1
grupo1__uce0022;2
grupo1__uce0023;2
grupo1__uce0024;1
grupo1__uce0025;4
grupo1__uce0026;2
grupo1__uce0027;1
grupo1__uce0028;1
grupo1__uce0029;1
grupo1__uce0030;1
grupo1__uce0031;1
grupo1__uce0032;3
grupo1__uce0033;3
grupo1__uce0034;4
grupo1__uce0035;3
grupo1__uce0036;3
grupo1__uce0037;3
grupo1__uce0038;3
grupo1__uce0039;3
grupo1__uce0040;3
grupo1__uce0041;3
grupo1__uce0042;3
grupo1__uce0043;3
grupo1__uce0044;3
grupo1__uce0045;3
grupo1__uce0046;3
grupo1__uce0047;4
grupo1__uce0048;3
grupo1__uce0049;1
grupo1__uce0050;4
grupo1__uce0051;3
grupo1__uce0052;4
grupo1__uce0053;3
grupo1__uce0054;3
grupo1__uce0055;4
grupo1__uce0056;3
grupo2__uce0000;1
grupo2__uce0001;1
grupo2__uce0002;1
grupo2__uce0003;4
grupo2__uce0004;2
grupo2__uce0005;1
grupo2__uce0006;3
grupo2__uce0007;3
grupo2__uce0008;1
grupo2__uce0009;4
grupo2__uce0010;1
grupo2__uce0011;4
grupo2__uce0012;1
grupo2__uce0013;1
grupo2__uce0014;1
grupo2__uce0015;1
grupo2__uce0016;1
grupo2__uce0017;1
grupo2__uce0018;2
grupo2__uce0019;1
grupo2__uce0020;4
grupo2__uce0021;1
grupo2__uce0022;1
grupo2__uce0023;4
grupo2__uce0024;4
grupo2__uce0025;4
grupo2__uce0026;2
grupo2__uce0027;4
grupo2__uce0028;4
grupo2__uce0029;1
grupo2__uce0030;4
grupo2__uce0031;4
grupo2__uce0032;4
grupo2__uce0033;1
grupo2__uce0034;4
grupo2__uce0035;3
grupo2__uce0036;1
grupo2__uce0037;3
grupo2__uce0038;3
grupo2__uce0039;1
grupo2__uce0040;3
grupo2__uce0041;3
grupo2__uce0042;3
grupo2__uce0043;4
grupo2__uce0044;3
grupo2__uce0045;1
grupo2__uce0046;1
grupo2__uce0047;1
grupo2__uce0048;1
grupo2__uce0049;3
grupo2__uce0050;2
grupo2__uce0051;2
grupo2__uce0052;3
grupo2__uce0053;3
grupo2__uce0054;3
grupo2__uce0055;3
grupo2__uce0056;4
grupo2__uce0057;4
grupo2__uce0058;1
grupo2__uce0059;3
grupo2__uce0060;1
grupo2__uce0061;4
grupo2__uce0062;4
grupo2__uce0063;2
grupo2__uce0064;2
grupo2__uce0065;1
grupo2__uce0066;1
grupo2__uce0067;1
grupo2__uce0068;1
grupo2__uce0069;1
grupo2__uce0070;1
grupo3__uce0000;3
grupo3__uce0001;1
grupo3__uce0002;4
grupo3__uce0003;4
grupo3__uce0004;1
grupo3__uce0005;1
grupo3__uce0006;1
grupo3__uce0007;2
grupo3__uce0008;2
grupo3__uce0009;4
grupo3__uce0010;4
grupo3__uce0011;4
grupo3__uce0012;1
grupo3__uce0013;1
grupo3__uce0014;1
grupo3__uce0015;1
