topico;rank;forma;peso
1;1;comer;232.13
1;2;querer;83.163
1;3;fruta;56.778
1;4;comida;41.568
1;5;bem;35.956
1;6;dificuldade;29.01
1;7;alimentação;28.614
1;8;besteira;27.234
1;9;doce;26.164
1;10;legume;24.242
2;1;água;51.23
2;2;câncer;18.222
2;3;nunca;17.751
2;4;hipoclorito;17.244
2;5;quimioterapia;16.945
2;6;doce;16.32
2;7;gostar;16.198
2;8;higiene;15.239
2;9;começar;15.038
2;10;intestino;14.234
3;1;tomar;144.214
3;2;suplemento;75.237
3;3;sonda;58.907
3;4;peso;46.311
3;5;ajudar;30.471
3;6;bem;27.71
3;7;passar;22.918
3;8;começar;22.56
3;9;dificuldade;22.465
3;10;comer;21.812
4;1;vomitar;56.234
4;2;remédio;40.235
4;3;quimioterapia;30.918
4;4;medo;27.221
4;5;sonda;26.577
4;6;passar;23.072
4;7;deus;19.209
4;8;questão;18.358
4;9;dificuldade;17.25
4;10;graça;16.239
