;aceitar;ajudar;alimentação;bastante;bater;beber;bem;besteira;boca;casa;cheiro;comer;começar;comida;conseguir;câncer;deus;diferente;dificuldade;doce;doutor;enjoar;entender;forçar;fruta;gastrostomia;gostar;graça;higiene;hospital;internar;legume;leite;mal;manter;medo;menos;mudar;nunca;náusea;observar;passar;perder;peso;problema;querer;questão;quimioterapia;remédio;sair;semana;sentir;sonda;suplemento;tomar;tratamento;verdura;voltar;vomitar;água
aceitar;0.0;3.0;3.0;2.0;2.0;1.0;5.0;1.0;0.0;2.0;0.0;16.0;4.0;3.0;1.0;0.0;2.0;2.0;5.0;5.0;1.0;1.0;0.0;1.0;9.0;6.0;2.0;2.0;0.0;1.0;2.0;5.0;4.0;1.0;2.0;0.0;1.0;2.0;1.0;2.0;1.0;8.0;3.0;6.0;0.0;7.0;1.0;2.0;2.0;2.0;1.0;1.0;7.0;7.0;8.0;0.0;3.0;2.0;2.0;4.0
ajudar;3.0;0.0;1.0;7.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;8.0;4.0;1.0;1.0;4.0;2.0;1.0;4.0;0.0;1.0;1.0;2.0;1.0;2.0;5.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;0.0;1.0;0.0;0.0;6.0;2.0;3.0;0.0;1.0;2.0;3.0;3.0;0.0;1.0;1.0;5.0;12.0;6.0;1.0;1.0;2.0;2.0;1.0
alimentação;3.0;1.0;0.0;4.0;0.0;1.0;5.0;1.0;0.0;3.0;2.0;19.0;4.0;7.0;5.0;5.0;1.0;2.0;10.0;1.0;0.0;0.0;1.0;1.0;3.0;0.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;2.0;4.0;1.0;3.0;2.0;0.0;1.0;1.0;4.0;1.0;2.0;0.0;3.0;2.0;6.0;1.0;2.0;1.0;4.0;6.0;8.0;8.0;4.0;2.0;4.0;1.0;3.0
bastante;2.0;7.0;4.0;0.0;1.0;0.0;6.0;1.0;0.0;2.0;0.0;12.0;2.0;2.0;1.0;2.0;1.0;2.0;3.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;5.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;4.0;2.0;3.0;0.0;2.0;2.0;5.0;2.0;0.0;1.0;3.0;1.0;6.0;3.0;2.0;1.0;3.0;3.0;0.0
bater;2.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;3.0;0.0;1.0;1.0;2.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;1.0;0.0;2.0;2.0;2.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;3.0;1.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0
beber;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;6.0;1.0;2.0;3.0;0.0;0.0;0.0;3.0;3.0;1.0;1.0;0.0;0.0;4.0;1.0;4.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;2.0;0.0;2.0;0.0;1.0;1.0;1.0;1.0;4.0;5.0;2.0;2.0;0.0;1.0;3.0
bem;5.0;1.0;5.0;6.0;3.0;1.0;0.0;3.0;2.0;4.0;2.0;28.0;7.0;10.0;8.0;1.0;2.0;1.0;8.0;2.0;1.0;1.0;2.0;4.0;5.0;2.0;5.0;2.0;2.0;2.0;3.0;5.0;2.0;1.0;4.0;1.0;2.0;4.0;2.0;3.0;2.0;7.0;4.0;5.0;3.0;11.0;3.0;7.0;1.0;0.0;0.0;1.0;5.0;5.0;12.0;4.0;4.0;3.0;4.0;4.0
besteira;1.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;1.0;2.0;1.0;11.0;2.0;6.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0;5.0;0.0;6.0;0.0;2.0;1.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;11.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;4.0;1.0;3.0;0.0;0.0;2.0
boca;0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;7.0;2.0;2.0;2.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;1.0;2.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;2.0;0.0;2.0;1.0;2.0;0.0;1.0;3.0;2.0;7.0;0.0;1.0;2.0;1.0;1.0
casa;2.0;1.0;3.0;2.0;1.0;1.0;4.0;2.0;0.0;0.0;1.0;9.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;5.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0
