forma;frequencia;comunidade
aceitar;33;0
ajudar;23;1
alimentação;37;0
bastante;21;0
bater;13;0
beber;13;0
bem;54;0
besteira;19;0
boca;13;0
casa;16;0
cheiro;14;0
comer;146;0
começar;54;2
comida;43;0
conseguir;34;0
câncer;14;0
deus;17;3
diferente;14;0
dificuldade;59;0
doce;26;0
doutor;17;0
enjoar;15;0
entender;16;1
forçar;15;1
fruta;43;0
gastrostomia;16;4
gostar;35;0
graça;14;3
higiene;13;5
hospital;13;0
internar;22;1
legume;17;0
leite;17;1
mal;16;4
manter;14;0
medo;20;1
menos;17;0
mudar;17;0
nunca;18;0
náusea;18;6
observar;14;0
passar;51;4
perder;25;7
peso;36;7
problema;13;0
querer;71;0
questão;21;0
quimioterapia;57;6
remédio;30;1
sair;14;1
semana;16;0
sentir;18;0
sonda;65;1
suplemento;60;1
tomar;96;1
tratamento;23;2
verdura;18;0
voltar;21;0
vomitar;34;1
água;27;5
