uce_id;uci_id;grupo;n_participantes;sexo_predominante_responsaveis;sexo_predominante_pacientexs;escolaridade_predominante;regiao_predominante;tumor_predominante;tempo_tto_faixa;desnutricao_grupo;sne_grupo;sne_xp_grupo;n_tokens;n_active
grupo1__uce0000;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;43;0
grupo1__uce0001;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;54;8
grupo1__uce0002;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;66;13
grupo1__uce0003;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;68;19
grupo1__uce0004;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;53;10
grupo1__uce0005;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;47;12
grupo1__uce0006;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;56;14
grupo1__uce0007;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;9
grupo1__uce0008;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;47;15
grupo1__uce0009;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;47;14
grupo1__uce0010;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;43;10
grupo1__uce0011;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;56;12
grupo1__uce0012;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;49;18
grupo1__uce0013;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;11
grupo1__uce0014;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;49;15
grupo1__uce0015;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;42;10
grupo1__uce0016;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;11
grupo1__uce0017;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;17
grupo1__uce0018;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;41;12
grupo1__uce0019;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;60;21
grupo1__uce0020;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;41;12
grupo1__uce0021;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;68;12
grupo1__uce0022;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;5
grupo1__uce0023;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;63;7
grupo1__uce0024;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;51;12
grupo1__uce0025;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;56;9
grupo1__uce0026;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;14
grupo1__uce0027;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;8
grupo1__uce0028;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;9
grupo1__uce0029;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;11
